slug,total_testcases_analysis,total_correct_analysis,runtime_percentile_analysis,state,status_msg_analysis,result_analysis,processed
largest-number-after-digit-swaps-by-parity,238,238,100,SUCCESS,26.1664,Accepted,TRUE
smallest-divisible-digit-product-i,1000,1000,100,SUCCESS,42.8044,Accepted,TRUE
minimize-xor,280,280,100,SUCCESS,65.9574,Accepted,TRUE
maximum-running-time-of-n-computers,52,52,5.9544,SUCCESS,84.7682,Accepted,TRUE
find-minimum-diameter-after-merging-two-trees,723,723,5.1817,SUCCESS,41.8512,Accepted,TRUE
minimum-edge-reversals-so-every-node-is-reachable,421,421,5.4825,SUCCESS,29.2661,Accepted,TRUE
split-the-array-to-make-coprime-products,75,75,57.6274,SUCCESS,62.712,Accepted,TRUE
mark-elements-on-array-by-performing-queries,661,0,,SUCCESS,,Time Limit Exceeded,TRUE
count-the-number-of-fair-pairs,55,55,50.314,SUCCESS,44.6315,Accepted,TRUE
maximize-score-of-numbers-in-ranges,686,686,6.8659,SUCCESS,9.1603,Accepted,TRUE
minimum-fuel-cost-to-report-to-the-capital,131,131,12.467,SUCCESS,5.15,Accepted,TRUE
distribute-elements-into-two-arrays-ii,785,785,16.8832,SUCCESS,28.5715,Accepted,TRUE
maximum-number-of-non-overlapping-substrings,285,81,,SUCCESS,,Wrong Answer,TRUE
maximum-number-of-operations-with-the-same-score-ii,549,549,58.537,SUCCESS,65.854,Accepted,TRUE
remove-letter-to-equalize-frequency,50,50,4.3974,SUCCESS,85.9935,Accepted,TRUE
prime-subtraction-operation,654,654,83.6363,SUCCESS,8.4849,Accepted,TRUE
find-the-minimum-possible-sum-of-a-beautiful-array,577,577,100,SUCCESS,81.5789,Accepted,TRUE
number-of-students-unable-to-eat-lunch,55,55,100,SUCCESS,62.9642,Accepted,TRUE
longest-unequal-adjacent-groups-subsequence-i,382,382,12.2025,SUCCESS,71.1409,Accepted,TRUE
minimum-number-of-pushes-to-type-word-ii,877,877,42.2941,SUCCESS,93.4426,Accepted,TRUE
form-smallest-number-from-two-digit-arrays,388,388,100,SUCCESS,53.3568,Accepted,TRUE
longest-palindromic-subsequence-after-at-most-k-operations,550,0,,SUCCESS,,Runtime Error,TRUE
find-indices-with-index-and-value-difference-i,525,525,10.3773,SUCCESS,21.0692,Accepted,TRUE
clear-digits,688,688,27.5877,SUCCESS,78.6229,Accepted,TRUE
minimum-amount-of-time-to-fill-cups,280,280,100,SUCCESS,54.262,Accepted,TRUE
best-position-for-a-service-centre,56,56,97.2223,SUCCESS,86.8056,Accepted,TRUE
find-if-digit-game-can-be-won,897,897,100,SUCCESS,39.3086,Accepted,TRUE
using-a-robot-to-print-the-lexicographically-smallest-string,62,62,25.2329,SUCCESS,18.4374,Accepted,TRUE
maximize-number-of-nice-divisors,213,213,6.5789,SUCCESS,85.5263,Accepted,TRUE
maximum-number-of-moves-in-a-grid,814,814,22.2815,SUCCESS,81.6832,Accepted,TRUE
count-of-matches-in-tournament,200,200,93.0781,SUCCESS,71.1726,Accepted,TRUE
minimum-operations-to-exceed-threshold-value-ii,676,676,10.478,SUCCESS,74.7303,Accepted,TRUE
total-cost-to-hire-k-workers,163,163,23.5575,SUCCESS,25.5297,Accepted,TRUE
remove-methods-from-project,775,775,10.8823,SUCCESS,8.1632,Accepted,TRUE
divide-nodes-into-the-maximum-number-of-groups,57,57,23.7761,SUCCESS,85.2459,Accepted,TRUE
sum-of-all-subset-xor-totals,48,48,100,SUCCESS,96.8653,Accepted,TRUE
reverse-odd-levels-of-binary-tree,57,57,33.761,SUCCESS,54.3928,Accepted,TRUE
count-pairs-whose-sum-is-less-than-target,707,707,100,SUCCESS,56.6835,Accepted,TRUE
apple-redistribution-into-boxes,565,565,100,SUCCESS,34.8167,Accepted,TRUE
construct-the-minimum-bitwise-array-i,658,1,,SUCCESS,,Wrong Answer,TRUE
maximize-amount-after-two-days-of-conversions,767,767,21.1696,SUCCESS,49.025,Accepted,TRUE
find-closest-number-to-zero,227,227,86.5683,SUCCESS,74.8036,Accepted,TRUE
minimum-number-of-operations-to-make-elements-in-array-distinct,781,781,50.8975,SUCCESS,92.8205,Accepted,TRUE
count-complete-subarrays-in-an-array,1074,1074,5.0295,SUCCESS,28.8149,Accepted,TRUE
minimum-number-of-operations-to-make-array-empty,748,748,28.7833,SUCCESS,86.9438,Accepted,TRUE
minimum-number-of-seconds-to-make-mountain-height-zero,571,571,80.2716,SUCCESS,89.1156,Accepted,TRUE
closest-nodes-queries-in-a-binary-search-tree,35,35,35.3062,SUCCESS,87.4405,Accepted,TRUE
maximum-and-sum-of-array,84,84,14.4253,SUCCESS,84.6156,Accepted,TRUE
number-of-black-blocks,2145,2145,20.4967,SUCCESS,62.1664,Accepted,TRUE
count-increasing-quadruplets,121,121,25.5306,SUCCESS,10.6377,Accepted,TRUE
concatenation-of-array,92,92,17.8806,SUCCESS,23.7995,Accepted,TRUE
most-popular-video-creator,86,86,68.4208,SUCCESS,70.6764,Accepted,TRUE
count-subtrees-with-max-distance-between-cities,31,31,42.2517,SUCCESS,98.5915,Accepted,TRUE
two-furthest-houses-with-different-colors,126,126,100,SUCCESS,86.2385,Accepted,TRUE
sum-of-total-strength-of-wizards,82,82,21.8762,SUCCESS,76.0416,Accepted,TRUE
shortest-and-lexicographically-smallest-beautiful-string,674,674,100,SUCCESS,65.9005,Accepted,TRUE
count-the-number-of-good-nodes,621,621,19.6852,SUCCESS,92.9134,Accepted,TRUE
determine-if-a-cell-is-reachable-at-a-given-time,806,806,65.0487,SUCCESS,73.7864,Accepted,TRUE
maximum-length-substring-with-two-occurrences,709,709,14.2858,SUCCESS,58.486,Accepted,TRUE
find-the-integer-added-to-array-ii,560,560,84.3539,SUCCESS,92.517,Accepted,TRUE
check-if-the-sentence-is-pangram,79,79,16.0896,SUCCESS,49.9308,Accepted,TRUE
total-characters-in-string-after-transformations-i,824,50,,SUCCESS,,Wrong Answer,TRUE
make-array-elements-equal-to-zero,584,279,,SUCCESS,,Wrong Answer,TRUE
shift-distance-between-two-strings,741,62,,SUCCESS,,Wrong Answer,TRUE
count-ways-to-group-overlapping-ranges,32,32,19.3938,SUCCESS,12.7273,Accepted,TRUE
check-if-two-chessboard-squares-have-the-same-color,506,506,23.1144,SUCCESS,23.1143,Accepted,TRUE
maximum-possible-number-by-binary-concatenation,752,752,33.3333,SUCCESS,59.6491,Accepted,TRUE
make-k-subarray-sums-equal,1040,0,,SUCCESS,,Runtime Error,TRUE
longest-strictly-increasing-or-strictly-decreasing-subarray,868,868,20.2815,SUCCESS,58.7972,Accepted,TRUE
second-largest-digit-in-a-string,301,301,79.936,SUCCESS,12.1665,Accepted,TRUE
counting-words-with-a-given-prefix,95,95,100,SUCCESS,67.4324,Accepted,TRUE
minimum-impossible-or,73,73,57.7237,SUCCESS,15.4472,Accepted,TRUE
distribute-elements-into-two-arrays-i,622,622,100,SUCCESS,50.8474,Accepted,TRUE
design-memory-allocator,109,109,23.9299,SUCCESS,17.0793,Accepted,TRUE
