slug,runtime_percentile_analysis,result_analysis,total_testcases,total_correct,runtime_percentile,state,status_msg,memory_percentile,processed,difficulty_x,difficulty_y
string-compression-ii,18.18,Accepted,,,5.08,,30.51,Accepted,TRUE,Hard,Hard
split-the-array-to-make-coprime-products,57.6274,Accepted,75,75,5.1763,SUCCESS,22.0973,Accepted,TRUE,Hard,Hard
minimum-operations-to-exceed-threshold-value-ii,10.478,Accepted,676,676,5.1952,SUCCESS,8.7664,Accepted,TRUE,Medium,Medium
longest-unequal-adjacent-groups-subsequence-i,12.2025,Accepted,382,382,5.2678,SUCCESS,40.7621,Accepted,TRUE,Easy,Easy
maximum-number-of-operations-with-the-same-score-ii,58.537,Accepted,549,549,5.4536,SUCCESS,52.7268,Accepted,TRUE,Medium,Medium
mark-elements-on-array-by-performing-queries,,Time Limit Exceeded,661,661,5.512,SUCCESS,81.1024,Accepted,TRUE,Medium,Medium
minimum-edge-reversals-so-every-node-is-reachable,5.4825,Accepted,421,421,5.8132,SUCCESS,22.0926,Accepted,TRUE,Hard,Hard
design-an-ordered-stream,88.785,Accepted,101,101,6.0775,SUCCESS,26.1511,Accepted,TRUE,Easy,Easy
find-the-number-of-good-pairs-i,87.9949,Accepted,783,783,6.6576,SUCCESS,94.0361,Accepted,TRUE,Easy,Easy
count-the-number-of-fair-pairs,50.314,Accepted,55,55,6.6964,SUCCESS,12.7813,Accepted,TRUE,Medium,Medium
minimum-fuel-cost-to-report-to-the-capital,12.467,Accepted,131,131,6.8911,SUCCESS,5.03,Accepted,TRUE,Medium,Medium
count-the-number-of-complete-components,30.012,Accepted,3356,3356,7.2452,SUCCESS,61.2106,Accepted,TRUE,Medium,Medium
total-characters-in-string-after-transformations-i,,Wrong Answer,824,824,7.3836,SUCCESS,44.3115,Accepted,TRUE,Medium,Medium
maximum-number-of-non-overlapping-substrings,,Wrong Answer,285,285,7.6474,SUCCESS,97.4522,Accepted,TRUE,Hard,Hard
using-a-robot-to-print-the-lexicographically-smallest-string,25.2329,Accepted,,,7.93,,71.99,Accepted,TRUE,Medium,Medium
maximize-area-of-square-hole-in-grid,100,Accepted,524,524,8.9886,SUCCESS,48.3146,Accepted,TRUE,Medium,Medium
maximum-and-sum-of-array,14.4253,Accepted,84,84,9.091,SUCCESS,84.4156,Accepted,TRUE,Hard,Hard
longest-palindromic-subsequence-after-at-most-k-operations,,Runtime Error,550,550,9.3016,SUCCESS,15.5032,Accepted,TRUE,Medium,Medium
shortest-and-lexicographically-smallest-beautiful-string,100,Accepted,674,674,9.3749,SUCCESS,89.7321,Accepted,TRUE,Medium,Medium
maximum-element-sum-of-a-complete-subset-of-indices,46.8076,Accepted,663,663,10,SUCCESS,62.5,Accepted,TRUE,Hard,Hard
maximize-score-of-numbers-in-ranges,6.8659,Accepted,686,686,10.003,SUCCESS,5.3846,Accepted,TRUE,Medium,Medium
find-the-longest-semi-repetitive-substring,5.1206,Accepted,12264,12264,10.1638,SUCCESS,36.3934,Accepted,TRUE,Medium,Medium
minimum-equal-sum-of-two-arrays-after-replacing-zeros,64.4284,Accepted,,,10.24,,42.45,Accepted,TRUE,Medium,Medium
form-smallest-number-from-two-digit-arrays,100,Accepted,388,388,11.1112,SUCCESS,11.1112,Accepted,TRUE,Easy,Easy
make-k-subarray-sums-equal,,Runtime Error,1040,1040,11.1117,SUCCESS,88.889,Accepted,TRUE,Medium,Medium
find-the-original-typed-string-i,71.5576,Accepted,780,780,11.1446,SUCCESS,6.9277,Accepted,TRUE,Easy,Easy
maximum-running-time-of-n-computers,5.9544,Accepted,52,52,11.1889,SUCCESS,54.5455,Accepted,TRUE,Hard,Hard
find-minimum-diameter-after-merging-two-trees,5.1817,Accepted,723,723,11.5816,SUCCESS,40.5163,Accepted,TRUE,Hard,Hard
prime-subtraction-operation,83.6363,Accepted,654,654,11.7977,SUCCESS,21.8288,Accepted,TRUE,Medium,Medium
longest-strictly-increasing-or-strictly-decreasing-subarray,20.2815,Accepted,868,868,12.5532,SUCCESS,85.1065,Accepted,TRUE,Easy,Easy
count-complete-subarrays-in-an-array,5.0295,Accepted,1074,1074,13.1254,SUCCESS,75.4486,Accepted,TRUE,Medium,Medium
sum-of-all-subset-xor-totals,100,Accepted,48,48,13.3008,SUCCESS,42.6807,Accepted,TRUE,Easy,Easy
minimum-number-of-seconds-to-make-mountain-height-zero,80.2716,Accepted,571,571,13.4305,SUCCESS,84.3284,Accepted,TRUE,Medium,Medium
substring-xor-queries,66.6667,Accepted,59,59,13.7248,SUCCESS,45.0976,Accepted,TRUE,Medium,Medium
range-product-queries-of-powers,5.55,Accepted,70,70,13.8882,SUCCESS,84.7221,Accepted,TRUE,Medium,Medium
number-of-black-blocks,20.4967,Accepted,2145,2145,13.9204,SUCCESS,66.1555,Accepted,TRUE,Medium,Medium
total-cost-to-hire-k-workers,23.5575,Accepted,,,14.1,,19.64,Accepted,TRUE,Medium,Medium
count-increasing-quadruplets,25.5306,Accepted,121,121,14.2864,SUCCESS,5.3575,Accepted,TRUE,Hard,Hard
divide-an-array-into-subarrays-with-minimum-cost-i,,Wrong Answer,,,14.52,,52.28,Accepted,TRUE,Easy,Easy
find-the-integer-added-to-array-ii,84.3539,Accepted,560,560,14.6516,SUCCESS,8.9172,Accepted,TRUE,Medium,Medium
cat-and-mouse-ii,5.8135,Accepted,180,180,15.1502,SUCCESS,22.7266,Accepted,TRUE,Hard,Hard
closest-nodes-queries-in-a-binary-search-tree,35.3062,Accepted,35,35,15.177,SUCCESS,85.095,Accepted,TRUE,Medium,Medium
most-popular-video-creator,68.4208,Accepted,86,86,15.1774,SUCCESS,23.2135,Accepted,TRUE,Medium,Medium
remove-methods-from-project,10.8823,Accepted,775,775,15.5719,SUCCESS,19.6718,Accepted,TRUE,Medium,Medium
maximal-score-after-applying-k-operations,83.1169,Accepted,40,40,15.751,SUCCESS,29.6704,Accepted,TRUE,Medium,Medium
substring-with-largest-variance,,Wrong Answer,,,16.02,,16.45,Accepted,TRUE,Hard,Hard
largest-number-after-digit-swaps-by-parity,100,Accepted,,,16.04,,70,Accepted,TRUE,Easy,Easy
closest-prime-numbers-in-range,86.55,Accepted,68,68,16.1327,SUCCESS,87.1401,Accepted,TRUE,Medium,Medium
count-the-number-of-good-nodes,19.6852,Accepted,621,621,16.2297,SUCCESS,93.506,Accepted,TRUE,Medium,Medium
remove-letter-to-equalize-frequency,4.3974,Accepted,50,50,16.4138,SUCCESS,88.4138,Accepted,TRUE,Easy,Easy
make-array-elements-equal-to-zero,,Wrong Answer,584,584,17.2668,SUCCESS,10.4317,Accepted,TRUE,Easy,Easy
