slug,code,radon
largest-number-after-digit-swaps-by-parity,"```python
class Solution:
    def largestInteger(self, num: int) -> int:
        digits = list(str(num))
        n = len(digits)
        for i in range(n):
            for j in range(i + 1, n):
                if int(digits[i]) % 2 == int(digits[j]) % 2 and int(digits[i]) < int(digits[j]):
                    digits[i], digits[j] = digits[j], digits[i]
        return int(''.join(digits))
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 6, 'lineno': 1}, {'name': 'largestInteger', 'complexity': 5, 'lineno': 2}], 'maintainability_index': 65.37210411009929, 'raw_metrics': {'loc': 9, 'lloc': 9, 'sloc': 9, 'comments': 0}}"
smallest-divisible-digit-product-i,"```python
class Solution:
    def smallestNumber(self, n: int, t: int) -> int:
        def product_digits(num):
            product = 1
            for digit in str(num):
                product *= int(digit)
            return product
        
        while True:
            if product_digits(n) % t == 0:
                return n
            n += 1
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 4, 'lineno': 1}, {'name': 'smallestNumber', 'complexity': 3, 'lineno': 2}], 'maintainability_index': 65.30613586505524, 'raw_metrics': {'loc': 11, 'lloc': 11, 'sloc': 11, 'comments': 0}}"
minimize-xor,"```python
class Solution:
    def minimizeXor(self, num1: int, num2: int) -> int:
        count = bin(num2).count('1')
        num1_bits = bin(num1)[2:]
        res = ['0'] * len(num1_bits)
        
        for i in range(len(num1_bits)):
            if count == 0:
                break
            if num1_bits[i] == '1':
                res[i] = '1'
                count -= 1
        
        for i in range(len(num1_bits) - 1, -1, -1):
            if count == 0:
                break
            if res[i] == '0':
                res[i] = '1'
                count -= 1
        
        remaining_bits = []
        while count > 0:
            remaining_bits.append('1')
            count -= 1
        res = remaining_bits + res
        
        return int(''.join(res), 2)
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 9, 'lineno': 1}, {'name': 'minimizeXor', 'complexity': 8, 'lineno': 2}], 'maintainability_index': 53.35888008223389, 'raw_metrics': {'loc': 23, 'lloc': 24, 'sloc': 23, 'comments': 0}}"
final-value-of-variable-after-performing-operations,"```python
class Solution:
    def finalValueAfterOperations(self, operations: List[str]) -> int:
        x = 0
        for op in operations:
            if op in (""++X"", ""X++""):
                x += 1
            else:
                x -= 1
        return x
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 4, 'lineno': 2}, {'name': 'finalValueAfterOperations', 'complexity': 3, 'lineno': 3}], 'maintainability_index': 67.82742192357686, 'raw_metrics': {'loc': 10, 'lloc': 10, 'sloc': 10, 'comments': 0}}"
maximum-running-time-of-n-computers,"```python
from typing import List

class Solution:
    def maxRunTime(self, n: int, batteries: List[int]) -> int:
        left, right = 1, sum(batteries) // n
        
        while left < right:
            mid = (left + right + 1) // 2
            total = 0
            for bat in batteries:
                total += min(bat, mid)
                if total >= mid * n:
                    break
            if total >= mid * n:
                left = mid
            else:
                right = mid - 1
        return left
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 6, 'lineno': 3}, {'name': 'maxRunTime', 'complexity': 5, 'lineno': 4}], 'maintainability_index': 57.32085506556965, 'raw_metrics': {'loc': 17, 'lloc': 17, 'sloc': 17, 'comments': 0}}"
find-minimum-diameter-after-merging-two-trees,"```python
from collections import deque
from typing import List

class Solution:
    def minimumDiameterAfterMerge(self, edges1: List[List[int]], edges2: List[List[int]]) -> int:
        def build_tree(edges):
            tree = {}
            for u, v in edges:
                if u not in tree:
                    tree[u] = []
                if v not in tree:
                    tree[v] = []
                tree[u].append(v)
                tree[v].append(u)
            return tree
        
        def get_tree_properties(tree):
            if not tree:
                return (0, 0, [])
            
            def bfs(start):
                visited = {}
                q = deque()
                q.append((start, 0))
                visited[start] = True
                farthest_node = start
                max_dist = 0
                while q:
                    node, dist = q.popleft()
                    if dist > max_dist:
                        max_dist = dist
                        farthest_node = node
                    for neighbor in tree.get(node, []):
                        if neighbor not in visited:
                            visited[neighbor] = True
                            q.append((neighbor, dist + 1))
                return farthest_node, max_dist
            
            node, _ = bfs(next(iter(tree.keys())))
            node, diameter = bfs(node)
            center_nodes = []
            
            def find_centers():
                leaves = deque()
                degree = {}
                for node in tree:
                    degree[node] = len(tree[node])
                    if degree[node] == 1:
                        leaves.append(node)
                total_nodes = len(tree)
                while total_nodes > 2:
                    for _ in range(len(leaves)):
                        leaf = leaves.popleft()
                        for neighbor in tree[leaf]:
                            degree[neighbor] -= 1
                            if degree[neighbor] == 1:
                                leaves.append(neighbor)
                        total_nodes -= 1
                return list(leaves)
            
            center_nodes = find_centers()
            radius = (diameter + 1) // 2
            return (diameter, radius, center_nodes)
        
        tree1 = build_tree(edges1)
        tree2 = build_tree(edges2)
        
        d1, r1, centers1 = get_tree_properties(tree1)
        d2, r2, centers2 = get_tree_properties(tree2)
        
        min_diameter = max(d1, d2, r1 + r2 + 1)
        return min_diameter
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 2, 'lineno': 4}, {'name': 'minimumDiameterAfterMerge', 'complexity': 1, 'lineno': 5}], 'maintainability_index': 43.98653658159397, 'raw_metrics': {'loc': 64, 'lloc': 64, 'sloc': 64, 'comments': 0}}"
minimum-edge-reversals-so-every-node-is-reachable,"```python
from typing import List
from collections import defaultdict, deque

class Solution:
    def minEdgeReversals(self, n: int, edges: List[List[int]]) -> List[int]:
        graph = defaultdict(list)
        reverse_graph = defaultdict(list)
        for u, v in edges:
            graph[u].append((v, 0))  # 0 indicates no reversal needed
            reverse_graph[v].append((u, 1))  # 1 indicates reversal needed
        
        root = 0
        res = [0] * n
        q = deque([root])
        visited = [False] * n
        visited[root] = True
        count = 0
        
        parent = [-1] * n
        children = defaultdict(list)
        stack = [root]
        visited_tree = [False] * n
        visited_tree[root] = True
        while stack:
            u = stack.pop()
            for v, cost in graph[u]:
                if not visited_tree[v]:
                    parent[v] = u
                    children[u].append((v, cost))
                    visited_tree[v] = True
                    stack.append(v)
            for v, cost in reverse_graph[u]:
                if not visited_tree[v]:
                    parent[v] = u
                    children[u].append((v, cost))
                    visited_tree[v] = True
                    stack.append(v)
        
        stack = [(root, 0)]
        total = 0
        while stack:
            u, cost = stack.pop()
            total += cost
            for v, c in children[u]:
                stack.append((v, c))
        res[root] = total
        
        stack = [(root, children[root])]
        while stack:
            u, child_list = stack[-1]
            if not child_list:
                stack.pop()
                continue
            v, cost = child_list.pop()
            res[v] = res[u] + (1 - cost) - cost
            stack.append((v, children[v]))
        
        return res
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 12, 'lineno': 4}, {'name': 'minEdgeReversals', 'complexity': 11, 'lineno': 5}], 'maintainability_index': 57.10496213628071, 'raw_metrics': {'loc': 53, 'lloc': 53, 'sloc': 53, 'comments': 2}}"
split-the-array-to-make-coprime-products,"```python
import math
from collections import defaultdict

class Solution:
    def findValidSplit(self, nums: List[int]) -> int:
        def get_prime_factors(x):
            factors = set()
            if x == 1:
                return factors
            while x % 2 == 0:
                factors.add(2)
                x = x // 2
            i = 3
            max_factor = math.sqrt(x) + 1
            while i <= max_factor:
                while x % i == 0:
                    factors.add(i)
                    x = x // i
                    max_factor = math.sqrt(x) + 1
                i += 2
            if x > 1:
                factors.add(x)
            return factors
        
        n = len(nums)
        if n == 1:
            return -1
        
        left_primes = defaultdict(int)
        right_primes = defaultdict(int)
        
        for num in nums:
            primes = get_prime_factors(num)
            for p in primes:
                right_primes[p] += 1
        
        current_primes = set()
        for i in range(n - 1):
            num = nums[i]
            primes = get_prime_factors(num)
            for p in primes:
                current_primes.add(p)
                right_primes[p] -= 1
                if right_primes[p] == 0:
                    del right_primes[p]
            
            valid = True
            for p in current_primes:
                if p in right_primes:
                    valid = False
                    break
            if valid:
                return i
        
        return -1
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 11, 'lineno': 4}, {'name': 'findValidSplit', 'complexity': 10, 'lineno': 5}], 'maintainability_index': 44.56170042342738, 'raw_metrics': {'loc': 49, 'lloc': 49, 'sloc': 49, 'comments': 0}}"
mark-elements-on-array-by-performing-queries,"```python
import heapq
from typing import List

class Solution:
    def unmarkedSumArray(self, nums: List[int], queries: List[List[int]]) -> List[int]:
        n = len(nums)
        marked = [False] * n
        total_sum = sum(nums)
        marked_sum = 0
        
        heap = []
        for i in range(n):
            heapq.heappush(heap, (nums[i], i))
        
        res = []
        for index, k in queries:
            if not marked[index]:
                marked[index] = True
                marked_sum += nums[index]
            
            count = 0
            temp = []
            while heap and count < k:
                val, i = heapq.heappop(heap)
                if not marked[i]:
                    marked[i] = True
                    marked_sum += val
                    count += 1
                else:
                    temp.append((val, i))
            
            for val, i in temp:
                heapq.heappush(heap, (val, i))
            
            res.append(total_sum - marked_sum)
        
        return res
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 9, 'lineno': 4}, {'name': 'unmarkedSumArray', 'complexity': 8, 'lineno': 5}], 'maintainability_index': 52.07006470964124, 'raw_metrics': {'loc': 31, 'lloc': 31, 'sloc': 31, 'comments': 0}}"
count-the-number-of-fair-pairs,"```python
class Solution:
    def countFairPairs(self, nums: List[int], lower: int, upper: int) -> int:
        nums.sort()
        n = len(nums)
        res = 0
        
        for i in range(n):
            left = i + 1
            right = n - 1
            lower_bound = lower - nums[i]
            upper_bound = upper - nums[i]
            
            l = left
            r = right
            low_pos = n
            while l <= r:
                mid = (l + r) // 2
                if nums[mid] >= lower_bound:
                    low_pos = mid
                    r = mid - 1
                else:
                    l = mid + 1
            
            l = left
            r = right
            high_pos = -1
            while l <= r:
                mid = (l + r) // 2
                if nums[mid] <= upper_bound:
                    high_pos = mid
                    l = mid + 1
                else:
                    r = mid - 1
            
            if low_pos <= high_pos:
                res += high_pos - low_pos + 1
        
        return res
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 8, 'lineno': 2}, {'name': 'countFairPairs', 'complexity': 7, 'lineno': 3}], 'maintainability_index': 48.19128432270804, 'raw_metrics': {'loc': 34, 'lloc': 34, 'sloc': 34, 'comments': 0}}"
