slug,runtime_percentile_analysis,result_analysis,total_testcases_fixed,total_correct_fixed,runtime_percentile_fixed,state_fixed,status_msg_fixed,memory_percentile_fixed,processed_fixed,difficulty,runtime_percentile,status_msg,Accepted
string-compression-ii,18.18,Accepted,,,77.78,SUCCESS,5.98,Accepted,TRUE,Hard,5.08,30.51,Accepted
split-the-array-to-make-coprime-products,57.6274,Accepted,75,75,5.109,SUCCESS,22.0572,Accepted,TRUE,Hard,5.1763,22.0973,Accepted
minimum-operations-to-exceed-threshold-value-ii,10.478,Accepted,,,14.73,SUCCESS,22.82,Accepted,TRUE,Medium,5.1952,8.7664,Accepted
longest-unequal-adjacent-groups-subsequence-i,12.2025,Accepted,382,382,100,SUCCESS,22.8007,Accepted,TRUE,Easy,5.2678,40.7621,Accepted
maximum-number-of-operations-with-the-same-score-ii,58.537,Accepted,549,549,6.2458,SUCCESS,49.106,Accepted,TRUE,Medium,5.4536,52.7268,Accepted
mark-elements-on-array-by-performing-queries,,Time Limit Exceeded,661,0,,SUCCESS,,Time Limit Exceeded,TRUE,Medium,5.512,81.1024,Accepted
minimum-edge-reversals-so-every-node-is-reachable,5.4825,Accepted,421,7,,SUCCESS,,Wrong Answer,TRUE,Hard,5.8132,22.0926,Accepted
find-the-number-of-good-pairs-i,87.9949,Accepted,783,783,100,SUCCESS,75.0347,Accepted,TRUE,Easy,6.6576,94.0361,Accepted
count-the-number-of-fair-pairs,50.314,Accepted,55,55,30.2211,SUCCESS,5.9788,Accepted,TRUE,Medium,6.6964,12.7813,Accepted
minimum-fuel-cost-to-report-to-the-capital,12.467,Accepted,131,131,5.0021,SUCCESS,8.032,Accepted,TRUE,Medium,6.8911,5.03,Accepted
count-the-number-of-complete-components,30.012,Accepted,3356,3356,20.0938,SUCCESS,94.5269,Accepted,TRUE,Medium,7.2452,61.2106,Accepted
total-characters-in-string-after-transformations-i,,Wrong Answer,824,824,34.875,SUCCESS,21.9034,Accepted,TRUE,Medium,7.3836,44.3115,Accepted
maximum-number-of-non-overlapping-substrings,,Wrong Answer,285,138,,SUCCESS,,Wrong Answer,TRUE,Hard,7.6474,97.4522,Accepted
using-a-robot-to-print-the-lexicographically-smallest-string,25.2329,Accepted,,,31.92,SUCCESS,19.15,Accepted,TRUE,Medium,7.93,71.99,Accepted
maximize-area-of-square-hole-in-grid,100,Accepted,524,524,100,SUCCESS,97.8723,Accepted,TRUE,Medium,8.9886,48.3146,Accepted
maximum-and-sum-of-array,14.4253,Accepted,84,84,12.6738,SUCCESS,90.1406,Accepted,TRUE,Hard,9.091,84.4156,Accepted
longest-palindromic-subsequence-after-at-most-k-operations,,Runtime Error,550,550,6.7039,SUCCESS,14.837,Accepted,TRUE,Medium,9.3016,15.5032,Accepted
shortest-and-lexicographically-smallest-beautiful-string,100,Accepted,674,674,25,SUCCESS,36.8182,Accepted,TRUE,Medium,9.3749,89.7321,Accepted
maximum-element-sum-of-a-complete-subset-of-indices,46.8076,Accepted,663,663,35.2936,SUCCESS,50,Accepted,TRUE,Hard,10,62.5,Accepted
maximize-score-of-numbers-in-ranges,6.8659,Accepted,686,686,11.2,SUCCESS,6.4,Accepted,TRUE,Medium,10.003,5.3846,Accepted
find-the-longest-semi-repetitive-substring,5.1206,Accepted,12264,12264,17.1875,SUCCESS,33.4375,Accepted,TRUE,Medium,10.1638,36.3934,Accepted
minimum-equal-sum-of-two-arrays-after-replacing-zeros,64.4284,Accepted,638,638,5.0572,SUCCESS,64.5482,Accepted,TRUE,Medium,10.24,42.45,Accepted
