slug,runtime_percentile_analysis,result_analysis,total_testcases,total_correct,runtime_percentile,state,status_msg,memory_percentile,processed,difficulty_x,difficulty_y,difficulty
largest-number-after-digit-swaps-by-parity,100.0,Accepted,,,16.04,,70.0,Accepted,True,Easy,Easy,Easy
smallest-divisible-digit-product-i,100.0,Accepted,1000.0,1000.0,100.0,SUCCESS,42.8572,Accepted,True,Easy,Easy,Easy
minimize-xor,100.0,Accepted,280.0,280.0,100.0,SUCCESS,62.2785,Accepted,True,Medium,Medium,Medium
maximum-running-time-of-n-computers,5.9544,Accepted,52.0,52.0,11.1889,SUCCESS,54.5455,Accepted,True,Hard,Hard,Hard
find-minimum-diameter-after-merging-two-trees,5.1817,Accepted,723.0,723.0,11.5816,SUCCESS,40.5163,Accepted,True,Hard,Hard,Hard
minimum-edge-reversals-so-every-node-is-reachable,5.4825,Accepted,421.0,421.0,5.8132,SUCCESS,22.0926,Accepted,True,Hard,Hard,Hard
split-the-array-to-make-coprime-products,57.6274,Accepted,75.0,75.0,5.1763,SUCCESS,22.0973,Accepted,True,Hard,Hard,Hard
mark-elements-on-array-by-performing-queries,,Time Limit Exceeded,661.0,661.0,5.512,SUCCESS,81.1024,Accepted,True,Medium,Medium,Medium
count-the-number-of-fair-pairs,50.314,Accepted,55.0,55.0,6.6964,SUCCESS,12.7813,Accepted,True,Medium,Medium,Medium
maximize-score-of-numbers-in-ranges,6.8659,Accepted,686.0,686.0,10.003,SUCCESS,5.3846,Accepted,True,Medium,Medium,Medium
minimum-fuel-cost-to-report-to-the-capital,12.467,Accepted,131.0,131.0,6.8911,SUCCESS,5.03,Accepted,True,Medium,Medium,Medium
distribute-elements-into-two-arrays-ii,16.8832,Accepted,784.0,784.0,42.8564,SUCCESS,84.2857,Accepted,True,Hard,Hard,Hard
maximum-number-of-non-overlapping-substrings,,Wrong Answer,285.0,285.0,7.6474,SUCCESS,97.4522,Accepted,True,Hard,Hard,Hard
maximum-number-of-operations-with-the-same-score-ii,58.537,Accepted,549.0,549.0,5.4536,SUCCESS,52.7268,Accepted,True,Medium,Medium,Medium
remove-letter-to-equalize-frequency,4.3974,Accepted,50.0,50.0,16.4138,SUCCESS,88.4138,Accepted,True,Easy,Easy,Easy
prime-subtraction-operation,83.6363,Accepted,654.0,654.0,11.7977,SUCCESS,21.8288,Accepted,True,Medium,Medium,Medium
find-the-minimum-possible-sum-of-a-beautiful-array,100.0,Accepted,577.0,577.0,100.0,SUCCESS,40.7407,Accepted,True,Medium,Medium,Medium
number-of-students-unable-to-eat-lunch,100.0,Accepted,55.0,55.0,100.0,SUCCESS,89.7933,Accepted,True,Easy,Easy,Easy
longest-unequal-adjacent-groups-subsequence-i,12.2025,Accepted,382.0,382.0,5.2678,SUCCESS,40.7621,Accepted,True,Easy,Easy,Easy
minimum-number-of-pushes-to-type-word-ii,42.2941,Accepted,877.0,877.0,48.5202,SUCCESS,92.0119,Accepted,True,Medium,Medium,Medium
form-smallest-number-from-two-digit-arrays,100.0,Accepted,388.0,388.0,11.1112,SUCCESS,11.1112,Accepted,True,Easy,Easy,Easy
longest-palindromic-subsequence-after-at-most-k-operations,,Runtime Error,550.0,550.0,9.3016,SUCCESS,15.5032,Accepted,True,Medium,Medium,Medium
find-indices-with-index-and-value-difference-i,10.3773,Accepted,525.0,525.0,42.0212,SUCCESS,64.0958,Accepted,True,Easy,Easy,Easy
clear-digits,27.5877,Accepted,688.0,688.0,27.989,SUCCESS,78.292,Accepted,True,Easy,Easy,Easy
minimum-amount-of-time-to-fill-cups,100.0,Accepted,280.0,280.0,100.0,SUCCESS,81.3954,Accepted,True,Easy,Easy,Easy
best-position-for-a-service-centre,97.2223,Accepted,56.0,56.0,18.936,SUCCESS,100.0,Accepted,True,Hard,Hard,Hard
