slug,total_testcases,total_correct,runtime_percentile,state,status_msg,memory_percentile,processed
maximum-unique-subarray-sum-after-deletion,927,431,,SUCCESS,,Wrong Answer,TRUE
sum-of-variable-length-subarrays,773,176,,SUCCESS,,Wrong Answer,TRUE
zigzag-grid-traversal-with-skip,840,464,,SUCCESS,,Wrong Answer,TRUE
substring-matching-pattern,969,866,,SUCCESS,,Wrong Answer,TRUE
smallest-number-with-all-set-bits,608,599,,SUCCESS,,Wrong Answer,TRUE
stone-removal-game,53,27,,SUCCESS,,Wrong Answer,TRUE
minimum-operations-to-make-array-values-equal-to-k,969,899,,SUCCESS,,Wrong Answer,TRUE
adjacent-increasing-subarrays-detection-i,1422,1223,,SUCCESS,,Wrong Answer,TRUE
matrix-similarity-after-cyclic-shifts,914,904,,SUCCESS,,Wrong Answer,TRUE
minimum-right-shifts-to-sort-the-array,814,317,,SUCCESS,,Wrong Answer,TRUE
zero-array-transformation-iv,714,339,,SUCCESS,,Wrong Answer,TRUE
fruits-into-baskets-iii,740,385,,SUCCESS,,Wrong Answer,TRUE
find-the-number-of-copy-arrays,740,530,,SUCCESS,,Wrong Answer,TRUE
eat-pizzas,1005,140,,SUCCESS,,Wrong Answer,TRUE
select-k-disjoint-special-substrings,989,791,,SUCCESS,,Wrong Answer,TRUE
assign-elements-to-groups-with-constraints,572,367,,SUCCESS,,Wrong Answer,TRUE
maximum-frequency-after-subarray-operation,749,13,,SUCCESS,,Wrong Answer,TRUE
closest-equal-element-queries,614,343,,SUCCESS,,Wrong Answer,TRUE
reschedule-meetings-for-maximum-free-time-ii,695,12,,SUCCESS,,Wrong Answer,TRUE
count-mentions-per-user,673,642,,SUCCESS,,Wrong Answer,TRUE
minimize-the-maximum-edge-weight-of-graph,671,591,,SUCCESS,,Wrong Answer,TRUE
longest-subsequence-with-decreasing-adjacent-difference,586,377,,SUCCESS,,Wrong Answer,TRUE
maximum-coins-from-k-consecutive-bags,605,83,,SUCCESS,,Wrong Answer,TRUE
minimum-cost-to-make-arrays-identical,955,208,,SUCCESS,,Wrong Answer,TRUE
find-the-lexicographically-largest-string-from-the-box-i,785,240,,SUCCESS,,Wrong Answer,TRUE
maximum-area-rectangle-with-point-constraints-i,1002,981,,SUCCESS,,Wrong Answer,TRUE
check-if-grid-can-be-cut-into-sections,698,616,,SUCCESS,,Wrong Answer,TRUE
digit-operations-to-make-two-integers-equal,573,372,,SUCCESS,,Wrong Answer,TRUE
minimum-array-sum,772,404,,SUCCESS,,Wrong Answer,TRUE
maximum-subarray-sum-with-length-divisible-by-k,661,193,,SUCCESS,,Wrong Answer,TRUE
minimum-time-to-break-locks-i,763,62,,SUCCESS,,Wrong Answer,TRUE
zero-array-transformation-iii,824,515,,SUCCESS,,Wrong Answer,TRUE
zero-array-transformation-ii,627,89,,SUCCESS,,Wrong Answer,TRUE
zero-array-transformation-i,668,294,,SUCCESS,,Wrong Answer,TRUE
find-minimum-time-to-reach-last-room-i,744,2,,SUCCESS,,Wrong Answer,TRUE
maximum-frequency-of-an-element-after-performing-operations-i,635,491,,SUCCESS,,Wrong Answer,TRUE
adjacent-increasing-subarrays-detection-ii,1111,915,,SUCCESS,,Wrong Answer,TRUE
minimum-division-operations-to-make-array-non-decreasing,720,597,,SUCCESS,,Wrong Answer,TRUE
identify-the-largest-outlier-in-an-array,873,172,,SUCCESS,,Wrong Answer,TRUE
find-the-lexicographically-smallest-valid-sequence,905,174,,SUCCESS,,Wrong Answer,TRUE
count-substrings-that-can-be-rearranged-to-contain-a-string-i,758,71,,SUCCESS,,Wrong Answer,TRUE
count-almost-equal-pairs-i,686,480,,SUCCESS,,Wrong Answer,TRUE
reach-end-of-array-with-max-score,626,17,,SUCCESS,,Wrong Answer,TRUE
minimum-number-of-flips-to-make-binary-grid-palindromic-ii,661,68,,SUCCESS,,Wrong Answer,TRUE
find-the-power-of-k-size-subarrays-i,857,838,,SUCCESS,,Wrong Answer,TRUE
shortest-distance-after-road-addition-queries-i,972,394,,SUCCESS,,Wrong Answer,TRUE
maximize-the-total-height-of-unique-towers,583,468,,SUCCESS,,Wrong Answer,TRUE
k-th-largest-perfect-subtree-size-in-binary-tree,766,206,,SUCCESS,,Wrong Answer,TRUE
find-the-count-of-numbers-which-are-not-special,855,849,,SUCCESS,,Wrong Answer,TRUE
minimum-array-changes-to-make-differences-equal,682,3,,SUCCESS,,Wrong Answer,TRUE
maximum-number-of-operations-to-move-ones-to-the-end,694,148,,SUCCESS,,Wrong Answer,TRUE
count-submatrices-with-equal-frequency-of-x-and-y,770,18,,SUCCESS,,Wrong Answer,TRUE
find-the-maximum-length-of-valid-subsequence-ii,732,75,,SUCCESS,,Wrong Answer,TRUE
find-the-maximum-length-of-valid-subsequence-i,951,38,,SUCCESS,,Wrong Answer,TRUE
find-maximum-removals-from-source-string,755,536,,SUCCESS,,Wrong Answer,TRUE
maximize-total-cost-of-alternating-subarrays,692,99,,SUCCESS,,Wrong Answer,TRUE
vowels-game-in-a-string,697,591,,SUCCESS,,Wrong Answer,TRUE
find-the-maximum-length-of-a-good-subsequence-i,543,311,,SUCCESS,,Wrong Answer,TRUE
minimum-length-of-string-after-operations,702,475,,SUCCESS,,Wrong Answer,TRUE
lexicographically-minimum-string-after-removing-stars,602,559,,SUCCESS,,Wrong Answer,TRUE
count-the-number-of-special-characters-ii,896,736,,SUCCESS,,Wrong Answer,TRUE
minimum-length-of-anagram-concatenation,560,279,,SUCCESS,,Wrong Answer,TRUE
minimum-array-end,765,50,,SUCCESS,,Wrong Answer,TRUE
water-bottles-ii,958,727,,SUCCESS,,Wrong Answer,TRUE
find-the-maximum-number-of-elements-in-subset,731,355,,SUCCESS,,Wrong Answer,TRUE
find-if-array-can-be-sorted,999,677,,SUCCESS,,Wrong Answer,TRUE
minimum-moves-to-capture-the-queen,744,378,,SUCCESS,,Wrong Answer,TRUE
find-longest-special-substring-that-occurs-thrice-i,812,50,,SUCCESS,,Wrong Answer,TRUE
maximum-points-after-enemy-battles,579,44,,SUCCESS,,Wrong Answer,TRUE
minimum-cost-to-make-array-equalindromic,650,602,,SUCCESS,,Wrong Answer,TRUE
maximum-size-of-a-set-after-removals,969,961,,SUCCESS,,Wrong Answer,TRUE
count-subarrays-where-max-element-appears-at-least-k-times,634,104,,SUCCESS,,Wrong Answer,TRUE
minimum-number-of-coins-for-fruits,578,81,,SUCCESS,,Wrong Answer,TRUE
distribute-candies-among-children-ii,958,560,,SUCCESS,,Wrong Answer,TRUE
separate-black-and-white-balls,581,69,,SUCCESS,,Wrong Answer,TRUE
maximum-xor-product,863,227,,SUCCESS,,Wrong Answer,TRUE
maximum-score-after-applying-operations-on-a-tree,821,0,,SUCCESS,,Wrong Answer,TRUE
find-indices-with-index-and-value-difference-ii,517,430,,SUCCESS,,Wrong Answer,TRUE
minimum-size-subarray-in-infinite-array,535,383,,SUCCESS,,Wrong Answer,TRUE
happy-students,727,0,,SUCCESS,,Wrong Answer,TRUE
apply-operations-to-make-two-strings-equal,729,425,,SUCCESS,,Wrong Answer,TRUE
construct-product-matrix,1566,160,,SUCCESS,,Wrong Answer,TRUE
minimum-additions-to-make-valid-string,1523,185,,SUCCESS,,Wrong Answer,TRUE
count-the-number-of-square-free-subsets,44,23,,SUCCESS,,Wrong Answer,TRUE
minimum-cost-of-a-path-with-special-roads,1045,999,,SUCCESS,,Wrong Answer,TRUE
take-k-of-each-character-from-left-and-right,142,125,,SUCCESS,,Wrong Answer,TRUE
most-profitable-path-in-a-tree,31,0,,SUCCESS,,Wrong Answer,TRUE
longest-special-path-ii,678,351,,SUCCESS,,Wrong Answer,TRUE
maximize-subarrays-after-removing-one-conflicting-pair,642,0,,SUCCESS,,Wrong Answer,TRUE
maximize-the-distance-between-points-on-a-square,619,321,,SUCCESS,,Wrong Answer,TRUE
lexicographically-smallest-generated-string,739,723,,SUCCESS,,Wrong Answer,TRUE
maximize-the-minimum-game-score,692,21,,SUCCESS,,Wrong Answer,TRUE
minimum-operations-to-make-array-elements-zero,646,24,,SUCCESS,,Wrong Answer,TRUE
length-of-longest-v-shaped-diagonal-segment,561,154,,SUCCESS,,Wrong Answer,TRUE
frequencies-of-shortest-supersequences,808,599,,SUCCESS,,Wrong Answer,TRUE
smallest-substring-with-identical-characters-ii,970,91,,SUCCESS,,Wrong Answer,TRUE
minimum-cost-good-caption,714,5,,SUCCESS,,Wrong Answer,TRUE
minimum-increments-for-target-multiples-in-an-array,590,216,,SUCCESS,,Wrong Answer,TRUE
shortest-matching-substring,795,124,,SUCCESS,,Wrong Answer,TRUE
smallest-substring-with-identical-characters-i,949,487,,SUCCESS,,Wrong Answer,TRUE
longest-special-path,675,260,,SUCCESS,,Wrong Answer,TRUE
count-connected-components-in-lcm-graph,697,462,,SUCCESS,,Wrong Answer,TRUE
maximize-sum-of-weights-after-edge-removals,714,513,,SUCCESS,,Wrong Answer,TRUE
count-non-decreasing-subarrays-after-k-operations,731,0,,SUCCESS,,Wrong Answer,TRUE
minimize-the-maximum-adjacent-element-difference,958,21,,SUCCESS,,Wrong Answer,TRUE
sum-of-good-subsequences,679,45,,SUCCESS,,Wrong Answer,TRUE
maximize-the-number-of-target-nodes-after-connecting-trees-ii,825,4,,SUCCESS,,Wrong Answer,TRUE
maximum-frequency-of-an-element-after-performing-operations-ii,633,300,,SUCCESS,,Wrong Answer,TRUE
minimum-operations-to-make-character-frequencies-equal,773,72,,SUCCESS,,Wrong Answer,TRUE
find-the-original-typed-string-ii,846,135,,SUCCESS,,Wrong Answer,TRUE
find-the-number-of-subsequences-with-equal-gcd,622,25,,SUCCESS,,Wrong Answer,TRUE
find-the-number-of-possible-ways-for-an-event,568,64,,SUCCESS,,Wrong Answer,TRUE
check-if-dfs-strings-are-palindromes,584,208,,SUCCESS,,Wrong Answer,TRUE
find-the-k-th-character-in-string-game-ii,901,125,,SUCCESS,,Wrong Answer,TRUE
count-the-number-of-winning-sequences,691,147,,SUCCESS,,Wrong Answer,TRUE
sorted-gcd-pair-queries,721,550,,SUCCESS,,Wrong Answer,TRUE
construct-2d-grid-matching-graph-layout,785,90,,SUCCESS,,Wrong Answer,TRUE
find-the-maximum-sequence-value-of-array,641,397,,SUCCESS,,Wrong Answer,TRUE
count-substrings-that-can-be-rearranged-to-contain-a-string-ii,760,85,,SUCCESS,,Wrong Answer,TRUE
length-of-the-longest-increasing-path,725,242,,SUCCESS,,Wrong Answer,TRUE
select-cells-in-grid-with-maximum-score,546,465,,SUCCESS,,Wrong Answer,TRUE
maximum-score-of-non-overlapping-intervals,581,573,,SUCCESS,,Wrong Answer,TRUE
maximum-number-of-moves-to-kill-all-pawns,692,103,,SUCCESS,,Wrong Answer,TRUE
maximum-xor-score-subarray-queries,635,241,,SUCCESS,,Wrong Answer,TRUE
find-the-count-of-good-integers,90,9,,SUCCESS,,Wrong Answer,TRUE
count-almost-equal-pairs-ii,631,429,,SUCCESS,,Wrong Answer,TRUE
find-the-count-of-monotonic-pairs-ii,801,375,,SUCCESS,,Wrong Answer,TRUE
find-the-count-of-monotonic-pairs-i,801,381,,SUCCESS,,Wrong Answer,TRUE
minimum-amount-of-damage-dealt-to-bob,897,13,,SUCCESS,,Wrong Answer,TRUE
alternating-groups-iii,731,193,,SUCCESS,,Wrong Answer,TRUE
shortest-distance-after-road-addition-queries-ii,644,2,,SUCCESS,,Wrong Answer,TRUE
check-if-the-rectangle-corner-is-reachable,933,565,,SUCCESS,,Wrong Answer,TRUE
count-the-number-of-inversions,720,77,,SUCCESS,,Wrong Answer,TRUE
find-the-minimum-area-to-cover-all-ones-ii,661,631,,SUCCESS,,Wrong Answer,TRUE
minimum-operations-to-make-array-equal-to-target,554,119,,SUCCESS,,Wrong Answer,TRUE
find-the-maximum-length-of-a-good-subsequence-ii,551,449,,SUCCESS,,Wrong Answer,TRUE
block-placement-queries,744,425,,SUCCESS,,Wrong Answer,TRUE
find-products-of-elements-of-big-array,758,233,,SUCCESS,,Wrong Answer,TRUE
minimum-cost-to-equalize-array,636,559,,SUCCESS,,Wrong Answer,TRUE
find-the-number-of-subarrays-where-boundary-elements-are-maximum,890,104,,SUCCESS,,Wrong Answer,TRUE
kth-smallest-amount-with-single-denomination-combination,561,312,,SUCCESS,,Wrong Answer,TRUE
maximize-consecutive-elements-in-an-array-after-modification,668,97,,SUCCESS,,Wrong Answer,TRUE
earliest-second-to-mark-indices-ii,510,176,,SUCCESS,,Wrong Answer,TRUE
minimize-or-of-remaining-elements-using-operations,822,3,,SUCCESS,,Wrong Answer,TRUE
count-the-number-of-powerful-integers,933,809,,SUCCESS,,Wrong Answer,TRUE
maximize-the-number-of-partitions-after-operations,277,267,,SUCCESS,,Wrong Answer,TRUE
count-the-number-of-infection-sequences,1000,477,,SUCCESS,,Wrong Answer,TRUE
count-the-number-of-good-partitions,813,809,,SUCCESS,,Wrong Answer,TRUE
find-maximum-non-decreasing-array-length,553,113,,SUCCESS,,Wrong Answer,TRUE
palindrome-rearrangement-queries,1211,891,,SUCCESS,,Wrong Answer,TRUE
apply-operations-to-maximize-frequency-score,774,117,,SUCCESS,,Wrong Answer,TRUE
find-building-where-alice-and-bob-can-meet,953,137,,SUCCESS,,Wrong Answer,TRUE
maximum-points-after-collecting-coins-from-all-nodes,542,231,,SUCCESS,,Wrong Answer,TRUE
count-valid-paths-in-a-tree,922,10,,SUCCESS,,Wrong Answer,TRUE
maximum-spending-after-buying-items,779,313,,SUCCESS,,Wrong Answer,TRUE
count-of-sub-multisets-with-bounded-sum,643,515,,SUCCESS,,Wrong Answer,TRUE
string-transformation,726,95,,SUCCESS,,Wrong Answer,TRUE
minimum-changes-to-make-k-semi-palindromes,558,257,,SUCCESS,,Wrong Answer,TRUE
modify-graph-edge-weights,882,223,,SUCCESS,,Wrong Answer,TRUE
subsequence-with-the-minimum-score,54,22,,SUCCESS,,Wrong Answer,TRUE
maximize-the-minimum-powered-city,30,9,,SUCCESS,,Wrong Answer,TRUE
number-of-beautiful-partitions,74,31,,SUCCESS,,Wrong Answer,TRUE
split-message-based-on-limit,94,86,,SUCCESS,,Wrong Answer,TRUE
maximum-number-of-non-overlapping-palindrome-substrings,56,10,,SUCCESS,,Wrong Answer,TRUE
height-of-binary-tree-after-subtree-removal-queries,40,0,,SUCCESS,,Wrong Answer,TRUE
longest-increasing-subsequence-ii,84,76,,SUCCESS,,Wrong Answer,TRUE
find-the-k-sum-of-an-array,111,7,,SUCCESS,,Wrong Answer,TRUE
maximum-total-beauty-of-the-gardens,77,43,,SUCCESS,,Wrong Answer,TRUE
count-good-triplets-in-an-array,148,30,,SUCCESS,,Wrong Answer,TRUE
maximum-fruits-harvested-after-at-most-k-steps,202,95,,SUCCESS,,Wrong Answer,TRUE
sequentially-ordinal-rank-tracker,81,3,,SUCCESS,,Wrong Answer,TRUE
maximum-number-of-tasks-you-can-assign,49,30,,SUCCESS,,Wrong Answer,TRUE
number-of-valid-move-combinations-on-chessboard,273,202,,SUCCESS,,Wrong Answer,TRUE
maximum-number-of-ways-to-partition-an-array,178,125,,SUCCESS,,Wrong Answer,TRUE
find-array-given-subset-sums,131,14,,SUCCESS,,Wrong Answer,TRUE
number-of-ways-to-separate-numbers,257,35,,SUCCESS,,Wrong Answer,TRUE
longest-common-subpath,81,68,,SUCCESS,,Wrong Answer,TRUE
minimum-cost-to-reach-destination-in-time,93,86,,SUCCESS,,Wrong Answer,TRUE
the-earliest-and-latest-rounds-where-players-compete,137,77,,SUCCESS,,Wrong Answer,TRUE
design-movie-rental-system,42,23,,SUCCESS,,Wrong Answer,TRUE
minimum-skips-to-arrive-at-meeting-on-time,61,60,,SUCCESS,,Wrong Answer,TRUE
finding-mk-average,17,7,,SUCCESS,,Wrong Answer,TRUE
maximum-number-of-groups-getting-fresh-donuts,74,1,,SUCCESS,,Wrong Answer,TRUE
tree-of-coprimes,37,1,,SUCCESS,,Wrong Answer,TRUE
minimum-adjacent-swaps-for-k-consecutive-ones,117,3,,SUCCESS,,Wrong Answer,TRUE
minimum-initial-energy-to-finish-tasks,42,4,,SUCCESS,,Wrong Answer,TRUE
parallel-courses-ii,82,69,,SUCCESS,,Wrong Answer,TRUE
probability-of-a-two-boxes-having-the-same-number-of-distinct-balls,21,5,,SUCCESS,,Wrong Answer,TRUE
separate-squares-i,915,564,,SUCCESS,,Time Limit Exceeded,TRUE
count-special-subsequences,557,543,,SUCCESS,,Time Limit Exceeded,TRUE
count-beautiful-splits-in-an-array,583,575,,SUCCESS,,Time Limit Exceeded,TRUE
maximize-the-number-of-target-nodes-after-connecting-trees-i,817,810,,SUCCESS,,Time Limit Exceeded,TRUE
find-subtree-sizes-after-changes,632,631,,SUCCESS,,Time Limit Exceeded,TRUE
count-of-substrings-containing-every-vowel-and-k-consonants-ii,768,729,,SUCCESS,,Time Limit Exceeded,TRUE
find-the-power-of-k-size-subarrays-ii,653,641,,SUCCESS,,Time Limit Exceeded,TRUE
k-th-nearest-obstacle-queries,591,590,,SUCCESS,,Time Limit Exceeded,TRUE
alternating-groups-ii,625,531,,SUCCESS,,Time Limit Exceeded,TRUE
count-the-number-of-substrings-with-dominant-ones,881,855,,SUCCESS,,Time Limit Exceeded,TRUE
find-the-number-of-good-pairs-ii,687,683,,SUCCESS,,Time Limit Exceeded,TRUE
find-all-possible-stable-binary-arrays-i,670,666,,SUCCESS,,Time Limit Exceeded,TRUE
shortest-subarray-with-or-at-least-k-ii,718,714,,SUCCESS,,Time Limit Exceeded,TRUE
find-the-grid-of-region-average,810,792,,SUCCESS,,Time Limit Exceeded,TRUE
maximum-good-subarray-sum,782,780,,SUCCESS,,Time Limit Exceeded,TRUE
count-zero-request-servers,3129,2123,,SUCCESS,,Time Limit Exceeded,TRUE
increment-submatrices-by-one,31,17,,SUCCESS,,Time Limit Exceeded,TRUE
count-beautiful-numbers,554,532,,SUCCESS,,Time Limit Exceeded,TRUE
longest-common-prefix-of-k-strings-after-removal,667,633,,SUCCESS,,Time Limit Exceeded,TRUE
permutations-iv,999,225,,SUCCESS,,Time Limit Exceeded,TRUE
maximum-difference-between-even-and-odd-frequency-ii,690,667,,SUCCESS,,Time Limit Exceeded,TRUE
maximum-and-minimum-sums-of-at-most-size-k-subarrays,684,622,,SUCCESS,,Time Limit Exceeded,TRUE
subsequences-with-a-unique-middle-mode-i,947,751,,SUCCESS,,Time Limit Exceeded,TRUE
count-substrings-divisible-by-last-digit,699,683,,SUCCESS,,Time Limit Exceeded,TRUE
maximize-subarray-sum-after-removing-all-occurrences-of-one-element,660,649,,SUCCESS,,Time Limit Exceeded,TRUE
count-number-of-balanced-permutations,792,466,,SUCCESS,,Time Limit Exceeded,TRUE
count-k-reducible-numbers-less-than-n,774,330,,SUCCESS,,Time Limit Exceeded,TRUE
find-x-sum-of-all-k-long-subarrays-ii,784,776,,SUCCESS,,Time Limit Exceeded,TRUE
find-the-occurrence-of-first-almost-equal-substring,778,770,,SUCCESS,,Time Limit Exceeded,TRUE
final-array-state-after-k-multiplication-operations-ii,695,503,,SUCCESS,,Time Limit Exceeded,TRUE
find-the-largest-palindrome-divisible-by-k,632,133,,SUCCESS,,Time Limit Exceeded,TRUE
count-substrings-that-satisfy-k-constraint-ii,627,620,,SUCCESS,,Time Limit Exceeded,TRUE
time-taken-to-mark-all-nodes,804,411,,SUCCESS,,Time Limit Exceeded,TRUE
construct-string-with-minimum-cost,808,713,,SUCCESS,,Time Limit Exceeded,TRUE
number-of-subarrays-with-and-value-of-k,902,893,,SUCCESS,,Time Limit Exceeded,TRUE
maximum-total-reward-using-operations-ii,583,572,,SUCCESS,,Time Limit Exceeded,TRUE
maximum-sum-of-subsequence-with-non-adjacent-elements,527,517,,SUCCESS,,Time Limit Exceeded,TRUE
minimize-manhattan-distances,537,527,,SUCCESS,,Time Limit Exceeded,TRUE
