slug,difficulty,total_testcases,total_correct,runtime_percentile,state,memory_percentile,status_msg,processed,generated_code,content
largest-number-after-digit-swaps-by-parity,Easy,238,238,0.1518,SUCCESS,46.4339,Accepted,True,"```python
class Solution:
    def largestInteger(self, num: int) -> int:
        digits = list(str(num))
        n = len(digits)
        for i in range(n):
            for j in range(i + 1, n):
                if int(digits[i]) % 2 == int(digits[j]) % 2 and int(digits[i]) < int(digits[j]):
                    digits[i], digits[j] = digits[j], digits[i]
        return int(''.join(digits))
```","You are given a positive integer num. You may swap any two digits of num that have the same parity (i.e. both odd digits or both even digits).
Return the largest possible value of num after any number of swaps.
 
Example 1:

Input: num = 1234
Output: 3412
Explanation: Swap the digit 3 with the digit 1, this results in the number 3214.
Swap the digit 2 with the digit 4, this results in the number 3412.
Note that there may be other sequences of swaps but it can be shown that 3412 is the largest possible number.
Also note that we may not swap the digit 4 with the digit 1 since they are of different parities.

Example 2:

Input: num = 65875
Output: 87655
Explanation: Swap the digit 8 with the digit 6, this results in the number 85675.
Swap the first digit 5 with the digit 7, this results in the number 87655.
Note that there may be other sequences of swaps but it can be shown that 87655 is the largest possible number.

 
Constraints:

1 <= num <= 109

"
smallest-divisible-digit-product-i,Easy,1000,1000,2.924,SUCCESS,73.9766,Accepted,True,"```python
class Solution:
    def smallestNumber(self, n: int, t: int) -> int:
        def product_digits(num):
            product = 1
            for digit in str(num):
                product *= int(digit)
            return product
        
        while True:
            if product_digits(n) % t == 0:
                return n
            n += 1
```","You are given two integers n and t. Return the smallest number greater than or equal to n such that the product of its digits is divisible by t.
 
Example 1:

Input: n = 10, t = 2
Output: 10
Explanation:
The digit product of 10 is 0, which is divisible by 2, making it the smallest number greater than or equal to 10 that satisfies the condition.

Example 2:

Input: n = 15, t = 3
Output: 16
Explanation:
The digit product of 16 is 6, which is divisible by 3, making it the smallest number greater than or equal to 15 that satisfies the condition.

 
Constraints:

1 <= n <= 100
1 <= t <= 10

"
minimize-xor,Medium,280,280,4.3583,SUCCESS,68.0387,Accepted,True,"```python
class Solution:
    def minimizeXor(self, num1: int, num2: int) -> int:
        count = bin(num2).count('1')
        num1_bits = bin(num1)[2:]
        res = ['0'] * len(num1_bits)
        
        for i in range(len(num1_bits)):
            if count == 0:
                break
            if num1_bits[i] == '1':
                res[i] = '1'
                count -= 1
        
        for i in range(len(num1_bits) - 1, -1, -1):
            if count == 0:
                break
            if res[i] == '0':
                res[i] = '1'
                count -= 1
        
        remaining_bits = []
        while count > 0:
            remaining_bits.append('1')
            count -= 1
        res = remaining_bits + res
        
        return int(''.join(res), 2)
```","Given two positive integers num1 and num2, find the positive integer x such that:

x has the same number of set bits as num2, and
The value x XOR num1 is minimal.

Note that XOR is the bitwise XOR operation.
Return the integer x. The test cases are generated such that x is uniquely determined.
The number of set bits of an integer is the number of 1's in its binary representation.
 
Example 1:

Input: num1 = 3, num2 = 5
Output: 3
Explanation:
The binary representations of num1 and num2 are 0011 and 0101, respectively.
The integer 3 has the same number of set bits as num2, and the value 3 XOR 3 = 0 is minimal.

Example 2:

Input: num1 = 1, num2 = 12
Output: 3
Explanation:
The binary representations of num1 and num2 are 0001 and 1100, respectively.
The integer 3 has the same number of set bits as num2, and the value 3 XOR 1 = 2 is minimal.

 
Constraints:

1 <= num1, num2 <= 109

"
final-value-of-variable-after-performing-operations,Easy,259,259,4.8586,SUCCESS,17.5042,Accepted,True,"```python
class Solution:
    def finalValueAfterOperations(self, operations: List[str]) -> int:
        x = 0
        for op in operations:
            if op in (""++X"", ""X++""):
                x += 1
            else:
                x -= 1
        return x
```","There is a programming language with only four operations and one variable X:

++X and X++ increments the value of the variable X by 1.
--X and X-- decrements the value of the variable X by 1.

Initially, the value of X is 0.
Given an array of strings operations containing a list of operations, return the final value of X after performing all the operations.
 
Example 1:

Input: operations = [""--X"",""X++"",""X++""]
Output: 1
Explanation: The operations are performed as follows:
Initially, X = 0.
--X: X is decremented by 1, X =  0 - 1 = -1.
X++: X is incremented by 1, X = -1 + 1 =  0.
X++: X is incremented by 1, X =  0 + 1 =  1.

Example 2:

Input: operations = [""++X"",""++X"",""X++""]
Output: 3
Explanation: The operations are performed as follows:
Initially, X = 0.
++X: X is incremented by 1, X = 0 + 1 = 1.
++X: X is incremented by 1, X = 1 + 1 = 2.
X++: X is incremented by 1, X = 2 + 1 = 3.

Example 3:

Input: operations = [""X++"",""++X"",""--X"",""X--""]
Output: 0
Explanation: The operations are performed as follows:
Initially, X = 0.
X++: X is incremented by 1, X = 0 + 1 = 1.
++X: X is incremented by 1, X = 1 + 1 = 2.
--X: X is decremented by 1, X = 2 - 1 = 1.
X--: X is decremented by 1, X = 1 - 1 = 0.

 
Constraints:

1 <= operations.length <= 100
operations[i] will be either ""++X"", ""X++"", ""--X"", or ""X--"".

"
maximum-running-time-of-n-computers,Hard,52,52,5.0751,SUCCESS,23.1884,Accepted,True,"```python
from typing import List

class Solution:
    def maxRunTime(self, n: int, batteries: List[int]) -> int:
        left, right = 1, sum(batteries) // n
        
        while left < right:
            mid = (left + right + 1) // 2
            total = 0
            for bat in batteries:
                total += min(bat, mid)
                if total >= mid * n:
                    break
            if total >= mid * n:
                left = mid
            else:
                right = mid - 1
        return left
```","You have n computers. You are given the integer n and a 0-indexed integer array batteries where the ith battery can run a computer for batteries[i] minutes. You are interested in running all n computers simultaneously using the given batteries.
Initially, you can insert at most one battery into each computer. After that and at any integer time moment, you can remove a battery from a computer and insert another battery any number of times. The inserted battery can be a totally new battery or a battery from another computer. You may assume that the removing and inserting processes take no time.
Note that the batteries cannot be recharged.
Return the maximum number of minutes you can run all the n computers simultaneously.
 
Example 1:


Input: n = 2, batteries = [3,3,3]
Output: 4
Explanation: 
Initially, insert battery 0 into the first computer and battery 1 into the second computer.
After two minutes, remove battery 1 from the second computer and insert battery 2 instead. Note that battery 1 can still run for one minute.
At the end of the third minute, battery 0 is drained, and you need to remove it from the first computer and insert battery 1 instead.
By the end of the fourth minute, battery 1 is also drained, and the first computer is no longer running.
We can run the two computers simultaneously for at most 4 minutes, so we return 4.


Example 2:


Input: n = 2, batteries = [1,1,1,1]
Output: 2
Explanation: 
Initially, insert battery 0 into the first computer and battery 2 into the second computer. 
After one minute, battery 0 and battery 2 are drained so you need to remove them and insert battery 1 into the first computer and battery 3 into the second computer. 
After another minute, battery 1 and battery 3 are also drained so the first and second computers are no longer running.
We can run the two computers simultaneously for at most 2 minutes, so we return 2.

 
Constraints:

1 <= n <= batteries.length <= 105
1 <= batteries[i] <= 109

"
find-minimum-diameter-after-merging-two-trees,Hard,723,723,5.1381,SUCCESS,39.2515,Accepted,True,"```python
from collections import deque
from typing import List

class Solution:
    def minimumDiameterAfterMerge(self, edges1: List[List[int]], edges2: List[List[int]]) -> int:
        def build_tree(edges):
            tree = {}
            for u, v in edges:
                if u not in tree:
                    tree[u] = []
                if v not in tree:
                    tree[v] = []
                tree[u].append(v)
                tree[v].append(u)
            return tree
        
        def get_tree_properties(tree):
            if not tree:
                return (0, 0, [])
            
            def bfs(start):
                visited = {}
                q = deque()
                q.append((start, 0))
                visited[start] = True
                farthest_node = start
                max_dist = 0
                while q:
                    node, dist = q.popleft()
                    if dist > max_dist:
                        max_dist = dist
                        farthest_node = node
                    for neighbor in tree.get(node, []):
                        if neighbor not in visited:
                            visited[neighbor] = True
                            q.append((neighbor, dist + 1))
                return farthest_node, max_dist
            
            node, _ = bfs(next(iter(tree.keys())))
            node, diameter = bfs(node)
            center_nodes = []
            
            def find_centers():
                leaves = deque()
                degree = {}
                for node in tree:
                    degree[node] = len(tree[node])
                    if degree[node] == 1:
                        leaves.append(node)
                total_nodes = len(tree)
                while total_nodes > 2:
                    for _ in range(len(leaves)):
                        leaf = leaves.popleft()
                        for neighbor in tree[leaf]:
                            degree[neighbor] -= 1
                            if degree[neighbor] == 1:
                                leaves.append(neighbor)
                        total_nodes -= 1
                return list(leaves)
            
            center_nodes = find_centers()
            radius = (diameter + 1) // 2
            return (diameter, radius, center_nodes)
        
        tree1 = build_tree(edges1)
        tree2 = build_tree(edges2)
        
        d1, r1, centers1 = get_tree_properties(tree1)
        d2, r2, centers2 = get_tree_properties(tree2)
        
        min_diameter = max(d1, d2, r1 + r2 + 1)
        return min_diameter
```","There exist two undirected trees with n and m nodes, numbered from 0 to n - 1 and from 0 to m - 1, respectively. You are given two 2D integer arrays edges1 and edges2 of lengths n - 1 and m - 1, respectively, where edges1[i] = [ai, bi] indicates that there is an edge between nodes ai and bi in the first tree and edges2[i] = [ui, vi] indicates that there is an edge between nodes ui and vi in the second tree.
You must connect one node from the first tree with another node from the second tree with an edge.
Return the minimum possible diameter of the resulting tree.
The diameter of a tree is the length of the longest path between any two nodes in the tree.
 
Example 1:

Input: edges1 = [[0,1],[0,2],[0,3]], edges2 = [[0,1]]
Output: 3
Explanation:
We can obtain a tree of diameter 3 by connecting node 0 from the first tree with any node from the second tree.

Example 2:


Input: edges1 = [[0,1],[0,2],[0,3],[2,4],[2,5],[3,6],[2,7]], edges2 = [[0,1],[0,2],[0,3],[2,4],[2,5],[3,6],[2,7]]
Output: 5
Explanation:
We can obtain a tree of diameter 5 by connecting node 0 from the first tree with node 0 from the second tree.

 
Constraints:

1 <= n, m <= 105
edges1.length == n - 1
edges2.length == m - 1
edges1[i].length == edges2[i].length == 2
edges1[i] = [ai, bi]
0 <= ai, bi < n
edges2[i] = [ui, vi]
0 <= ui, vi < m
The input is generated such that edges1 and edges2 represent valid trees.

"
minimum-edge-reversals-so-every-node-is-reachable,Hard,421,421,5.2149,SUCCESS,13.042,Accepted,True,"```python
from typing import List
from collections import defaultdict, deque

class Solution:
    def minEdgeReversals(self, n: int, edges: List[List[int]]) -> List[int]:
        graph = defaultdict(list)
        reverse_graph = defaultdict(list)
        for u, v in edges:
            graph[u].append((v, 0))  # 0 indicates no reversal needed
            reverse_graph[v].append((u, 1))  # 1 indicates reversal needed
        
        root = 0
        res = [0] * n
        q = deque([root])
        visited = [False] * n
        visited[root] = True
        count = 0
        
        parent = [-1] * n
        children = defaultdict(list)
        stack = [root]
        visited_tree = [False] * n
        visited_tree[root] = True
        while stack:
            u = stack.pop()
            for v, cost in graph[u]:
                if not visited_tree[v]:
                    parent[v] = u
                    children[u].append((v, cost))
                    visited_tree[v] = True
                    stack.append(v)
            for v, cost in reverse_graph[u]:
                if not visited_tree[v]:
                    parent[v] = u
                    children[u].append((v, cost))
                    visited_tree[v] = True
                    stack.append(v)
        
        stack = [(root, 0)]
        total = 0
        while stack:
            u, cost = stack.pop()
            total += cost
            for v, c in children[u]:
                stack.append((v, c))
        res[root] = total
        
        stack = [(root, children[root])]
        while stack:
            u, child_list = stack[-1]
            if not child_list:
                stack.pop()
                continue
            v, cost = child_list.pop()
            res[v] = res[u] + (1 - cost) - cost
            stack.append((v, children[v]))
        
        return res
```","There is a simple directed graph with n nodes labeled from 0 to n - 1. The graph would form a tree if its edges were bi-directional.
You are given an integer n and a 2D integer array edges, where edges[i] = [ui, vi] represents a directed edge going from node ui to node vi.
An edge reversal changes the direction of an edge, i.e., a directed edge going from node ui to node vi becomes a directed edge going from node vi to node ui.
For every node i in the range [0, n - 1], your task is to independently calculate the minimum number of edge reversals required so it is possible to reach any other node starting from node i through a sequence of directed edges.
Return an integer array answer, where answer[i] is the  minimum number of edge reversals required so it is possible to reach any other node starting from node i through a sequence of directed edges.
 
Example 1:


Input: n = 4, edges = [[2,0],[2,1],[1,3]]
Output: [1,1,0,2]
Explanation: The image above shows the graph formed by the edges.
For node 0: after reversing the edge [2,0], it is possible to reach any other node starting from node 0.
So, answer[0] = 1.
For node 1: after reversing the edge [2,1], it is possible to reach any other node starting from node 1.
So, answer[1] = 1.
For node 2: it is already possible to reach any other node starting from node 2.
So, answer[2] = 0.
For node 3: after reversing the edges [1,3] and [2,1], it is possible to reach any other node starting from node 3.
So, answer[3] = 2.

Example 2:


Input: n = 3, edges = [[1,2],[2,0]]
Output: [2,0,1]
Explanation: The image above shows the graph formed by the edges.
For node 0: after reversing the edges [2,0] and [1,2], it is possible to reach any other node starting from node 0.
So, answer[0] = 2.
For node 1: it is already possible to reach any other node starting from node 1.
So, answer[1] = 0.
For node 2: after reversing the edge [1, 2], it is possible to reach any other node starting from node 2.
So, answer[2] = 1.

 
Constraints:

2 <= n <= 105
edges.length == n - 1
edges[i].length == 2
0 <= ui == edges[i][0] < n
0 <= vi == edges[i][1] < n
ui != vi
The input is generated such that if the edges were bi-directional, the graph would be a tree.

"
split-the-array-to-make-coprime-products,Hard,75,75,5.3584,SUCCESS,22.0622,Accepted,True,"```python
import math
from collections import defaultdict

class Solution:
    def findValidSplit(self, nums: List[int]) -> int:
        def get_prime_factors(x):
            factors = set()
            if x == 1:
                return factors
            while x % 2 == 0:
                factors.add(2)
                x = x // 2
            i = 3
            max_factor = math.sqrt(x) + 1
            while i <= max_factor:
                while x % i == 0:
                    factors.add(i)
                    x = x // i
                    max_factor = math.sqrt(x) + 1
                i += 2
            if x > 1:
                factors.add(x)
            return factors
        
        n = len(nums)
        if n == 1:
            return -1
        
        left_primes = defaultdict(int)
        right_primes = defaultdict(int)
        
        for num in nums:
            primes = get_prime_factors(num)
            for p in primes:
                right_primes[p] += 1
        
        current_primes = set()
        for i in range(n - 1):
            num = nums[i]
            primes = get_prime_factors(num)
            for p in primes:
                current_primes.add(p)
                right_primes[p] -= 1
                if right_primes[p] == 0:
                    del right_primes[p]
            
            valid = True
            for p in current_primes:
                if p in right_primes:
                    valid = False
                    break
            if valid:
                return i
        
        return -1
```","You are given a 0-indexed integer array nums of length n.
A split at an index i where 0 <= i <= n - 2 is called valid if the product of the first i + 1 elements and the product of the remaining elements are coprime.

For example, if nums = [2, 3, 3], then a split at the index i = 0 is valid because 2 and 9 are coprime, while a split at the index i = 1 is not valid because 6 and 3 are not coprime. A split at the index i = 2 is not valid because i == n - 1.

Return the smallest index i at which the array can be split validly or -1 if there is no such split.
Two values val1 and val2 are coprime if gcd(val1, val2) == 1 where gcd(val1, val2) is the greatest common divisor of val1 and val2.
 
Example 1:


Input: nums = [4,7,8,15,3,5]
Output: 2
Explanation: The table above shows the values of the product of the first i + 1 elements, the remaining elements, and their gcd at each index i.
The only valid split is at index 2.

Example 2:


Input: nums = [4,7,15,8,3,5]
Output: -1
Explanation: The table above shows the values of the product of the first i + 1 elements, the remaining elements, and their gcd at each index i.
There is no valid split.

 
Constraints:

n == nums.length
1 <= n <= 104
1 <= nums[i] <= 106

"
mark-elements-on-array-by-performing-queries,Medium,661,661,5.4405,SUCCESS,86.3945,Accepted,True,"```python
import heapq
from typing import List

class Solution:
    def unmarkedSumArray(self, nums: List[int], queries: List[List[int]]) -> List[int]:
        n = len(nums)
        marked = [False] * n
        total_sum = sum(nums)
        marked_sum = 0
        
        heap = []
        for i in range(n):
            heapq.heappush(heap, (nums[i], i))
        
        res = []
        for index, k in queries:
            if not marked[index]:
                marked[index] = True
                marked_sum += nums[index]
            
            count = 0
            temp = []
            while heap and count < k:
                val, i = heapq.heappop(heap)
                if not marked[i]:
                    marked[i] = True
                    marked_sum += val
                    count += 1
                else:
                    temp.append((val, i))
            
            for val, i in temp:
                heapq.heappush(heap, (val, i))
            
            res.append(total_sum - marked_sum)
        
        return res
```","You are given a 0-indexed array nums of size n consisting of positive integers.
You are also given a 2D array queries of size m where queries[i] = [indexi, ki].
Initially all elements of the array are unmarked.
You need to apply m queries on the array in order, where on the ith query you do the following:

Mark the element at index indexi if it is not already marked.
Then mark ki unmarked elements in the array with the smallest values. If multiple such elements exist, mark the ones with the smallest indices. And if less than ki unmarked elements exist, then mark all of them.

Return an array answer of size m where answer[i] is the sum of unmarked elements in the array after the ith query.
 
Example 1:

Input: nums = [1,2,2,1,2,3,1], queries = [[1,2],[3,3],[4,2]]
Output: [8,3,0]
Explanation:
We do the following queries on the array:

Mark the element at index 1, and 2 of the smallest unmarked elements with the smallest indices if they exist, the marked elements now are nums = [1,2,2,1,2,3,1]. The sum of unmarked elements is 2 + 2 + 3 + 1 = 8.
Mark the element at index 3, since it is already marked we skip it. Then we mark 3 of the smallest unmarked elements with the smallest indices, the marked elements now are nums = [1,2,2,1,2,3,1]. The sum of unmarked elements is 3.
Mark the element at index 4, since it is already marked we skip it. Then we mark 2 of the smallest unmarked elements with the smallest indices if they exist, the marked elements now are nums = [1,2,2,1,2,3,1]. The sum of unmarked elements is 0.


Example 2:

Input: nums = [1,4,2,3], queries = [[0,1]]
Output: [7]
Explanation:  We do one query which is mark the element at index 0 and mark the smallest element among unmarked elements. The marked elements will be nums = [1,4,2,3], and the sum of unmarked elements is 4 + 3 = 7.

 
Constraints:

n == nums.length
m == queries.length
1 <= m <= n <= 105
1 <= nums[i] <= 105
queries[i].length == 2
0 <= indexi, ki <= n - 1

"
count-the-number-of-fair-pairs,Medium,55,55,5.6105,SUCCESS,7.1256,Accepted,True,"```python
class Solution:
    def countFairPairs(self, nums: List[int], lower: int, upper: int) -> int:
        nums.sort()
        n = len(nums)
        res = 0
        
        for i in range(n):
            left = i + 1
            right = n - 1
            lower_bound = lower - nums[i]
            upper_bound = upper - nums[i]
            
            l = left
            r = right
            low_pos = n
            while l <= r:
                mid = (l + r) // 2
                if nums[mid] >= lower_bound:
                    low_pos = mid
                    r = mid - 1
                else:
                    l = mid + 1
            
            l = left
            r = right
            high_pos = -1
            while l <= r:
                mid = (l + r) // 2
                if nums[mid] <= upper_bound:
                    high_pos = mid
                    l = mid + 1
                else:
                    r = mid - 1
            
            if low_pos <= high_pos:
                res += high_pos - low_pos + 1
        
        return res
```","Given a 0-indexed integer array nums of size n and two integers lower and upper, return the number of fair pairs.
A pair (i, j) is fair if:

0 <= i < j < n, and
lower <= nums[i] + nums[j] <= upper

 
Example 1:

Input: nums = [0,1,7,4,4,5], lower = 3, upper = 6
Output: 6
Explanation: There are 6 fair pairs: (0,3), (0,4), (0,5), (1,3), (1,4), and (1,5).

Example 2:

Input: nums = [1,7,9,2,5], lower = 11, upper = 11
Output: 1
Explanation: There is a single fair pair: (2,3).

 
Constraints:

1 <= nums.length <= 105
nums.length == n
-109 <= nums[i] <= 109
-109 <= lower <= upper <= 109

"
