slug,runtime_percentile_analysis,result_analysis,total_testcases_fixed,total_correct_fixed,runtime_percentile_fixed,state_fixed,status_msg_fixed,memory_percentile_fixed,processed_fixed,difficulty,runtime_percentile,status_msg,Accepted
string-compression-ii,18.18,Accepted,,,77.78,SUCCESS,5.98,Accepted,True,Hard,5.08,30.51,Accepted
split-the-array-to-make-coprime-products,57.6274,Accepted,75.0,75.0,5.109,SUCCESS,22.0572,Accepted,True,Hard,5.1763,22.0973,Accepted
minimum-operations-to-exceed-threshold-value-ii,10.478,Accepted,,,14.73,SUCCESS,22.82,Accepted,True,Medium,5.1952,8.7664,Accepted
longest-unequal-adjacent-groups-subsequence-i,12.2025,Accepted,382.0,382.0,100.0,SUCCESS,22.8007,Accepted,True,Easy,5.2678,40.7621,Accepted
maximum-number-of-operations-with-the-same-score-ii,58.537,Accepted,549.0,549.0,6.2458,SUCCESS,49.106,Accepted,True,Medium,5.4536,52.7268,Accepted
mark-elements-on-array-by-performing-queries,,Time Limit Exceeded,661.0,0.0,,SUCCESS,,Time Limit Exceeded,True,Medium,5.512,81.1024,Accepted
minimum-edge-reversals-so-every-node-is-reachable,5.4825,Accepted,421.0,7.0,,SUCCESS,,Wrong Answer,True,Hard,5.8132,22.0926,Accepted
find-the-number-of-good-pairs-i,87.9949,Accepted,783.0,783.0,100.0,SUCCESS,75.0347,Accepted,True,Easy,6.6576,94.0361,Accepted
count-the-number-of-fair-pairs,50.314,Accepted,55.0,55.0,30.2211,SUCCESS,5.9788,Accepted,True,Medium,6.6964,12.7813,Accepted
minimum-fuel-cost-to-report-to-the-capital,12.467,Accepted,131.0,131.0,5.0021,SUCCESS,8.032,Accepted,True,Medium,6.8911,5.03,Accepted
count-the-number-of-complete-components,30.012,Accepted,3356.0,3356.0,20.0938,SUCCESS,94.5269,Accepted,True,Medium,7.2452,61.2106,Accepted
total-characters-in-string-after-transformations-i,,Wrong Answer,824.0,824.0,34.875,SUCCESS,21.9034,Accepted,True,Medium,7.3836,44.3115,Accepted
maximum-number-of-non-overlapping-substrings,,Wrong Answer,285.0,138.0,,SUCCESS,,Wrong Answer,True,Hard,7.6474,97.4522,Accepted
using-a-robot-to-print-the-lexicographically-smallest-string,25.2329,Accepted,,,31.92,SUCCESS,19.15,Accepted,True,Medium,7.93,71.99,Accepted
maximize-area-of-square-hole-in-grid,100.0,Accepted,524.0,524.0,100.0,SUCCESS,97.8723,Accepted,True,Medium,8.9886,48.3146,Accepted
maximum-and-sum-of-array,14.4253,Accepted,84.0,84.0,12.6738,SUCCESS,90.1406,Accepted,True,Hard,9.091,84.4156,Accepted
longest-palindromic-subsequence-after-at-most-k-operations,,Runtime Error,550.0,550.0,6.7039,SUCCESS,14.837,Accepted,True,Medium,9.3016,15.5032,Accepted
shortest-and-lexicographically-smallest-beautiful-string,100.0,Accepted,674.0,674.0,25.0,SUCCESS,36.8182,Accepted,True,Medium,9.3749,89.7321,Accepted
maximum-element-sum-of-a-complete-subset-of-indices,46.8076,Accepted,663.0,663.0,35.2936,SUCCESS,50.0,Accepted,True,Hard,10.0,62.5,Accepted
maximize-score-of-numbers-in-ranges,6.8659,Accepted,686.0,686.0,11.2,SUCCESS,6.4,Accepted,True,Medium,10.003,5.3846,Accepted
find-the-longest-semi-repetitive-substring,5.1206,Accepted,12264.0,12264.0,17.1875,SUCCESS,33.4375,Accepted,True,Medium,10.1638,36.3934,Accepted
minimum-equal-sum-of-two-arrays-after-replacing-zeros,64.4284,Accepted,638.0,638.0,5.0572,SUCCESS,64.5482,Accepted,True,Medium,10.24,42.45,Accepted
form-smallest-number-from-two-digit-arrays,100.0,Accepted,388.0,388.0,100.0,SUCCESS,51.0715,Accepted,True,Easy,11.1112,11.1112,Accepted
make-k-subarray-sums-equal,,Runtime Error,1040.0,1040.0,14.2858,SUCCESS,90.1099,Accepted,True,Medium,11.1117,88.889,Accepted
find-the-original-typed-string-i,71.5576,Accepted,780.0,780.0,11.2851,SUCCESS,68.6519,Accepted,True,Easy,11.1446,6.9277,Accepted
maximum-running-time-of-n-computers,5.9544,Accepted,52.0,52.0,71.9431,SUCCESS,53.9569,Accepted,True,Hard,11.1889,54.5455,Accepted
find-minimum-diameter-after-merging-two-trees,5.1817,Accepted,723.0,723.0,6.8019,SUCCESS,37.8658,Accepted,True,Hard,11.5816,40.5163,Accepted
prime-subtraction-operation,83.6363,Accepted,654.0,654.0,67.8379,SUCCESS,84.3244,Accepted,True,Medium,11.7977,21.8288,Accepted
longest-strictly-increasing-or-strictly-decreasing-subarray,20.2815,Accepted,868.0,868.0,20.9929,SUCCESS,97.4469,Accepted,True,Easy,12.5532,85.1065,Accepted
count-complete-subarrays-in-an-array,5.0295,Accepted,1074.0,1074.0,69.9767,SUCCESS,7.833,Accepted,True,Medium,13.1254,75.4486,Accepted
sum-of-all-subset-xor-totals,100.0,Accepted,48.0,48.0,100.0,SUCCESS,21.8036,Accepted,True,Easy,13.3008,42.6807,Accepted
minimum-number-of-seconds-to-make-mountain-height-zero,80.2716,Accepted,571.0,571.0,87.2177,SUCCESS,82.7067,Accepted,True,Medium,13.4305,84.3284,Accepted
substring-xor-queries,66.6667,Accepted,59.0,59.0,73.4696,SUCCESS,69.3879,Accepted,True,Medium,13.7248,45.0976,Accepted
range-product-queries-of-powers,5.55,Accepted,70.0,70.0,9.5874,SUCCESS,34.2464,Accepted,True,Medium,13.8882,84.7221,Accepted
number-of-black-blocks,20.4967,Accepted,2145.0,2145.0,9.6121,SUCCESS,20.704,Accepted,True,Medium,13.9204,66.1555,Accepted
total-cost-to-hire-k-workers,23.5575,Accepted,163.0,163.0,17.7103,SUCCESS,18.0706,Accepted,True,Medium,14.1,19.64,Accepted
count-increasing-quadruplets,25.5306,Accepted,121.0,121.0,18.5164,SUCCESS,9.2584,Accepted,True,Hard,14.2864,5.3575,Accepted
divide-an-array-into-subarrays-with-minimum-cost-i,,Wrong Answer,988.0,988.0,100.0,SUCCESS,10.5932,Accepted,True,Easy,14.52,52.28,Accepted
find-the-integer-added-to-array-ii,84.3539,Accepted,,,97.06,SUCCESS,8.09,Accepted,True,Medium,14.6516,8.9172,Accepted
cat-and-mouse-ii,5.8135,Accepted,180.0,180.0,29.3108,SUCCESS,31.0347,Accepted,True,Hard,15.1502,22.7266,Accepted
closest-nodes-queries-in-a-binary-search-tree,35.3062,Accepted,35.0,35.0,18.1814,SUCCESS,80.3031,Accepted,True,Medium,15.177,85.095,Accepted
most-popular-video-creator,68.4208,Accepted,86.0,86.0,60.7473,SUCCESS,66.3548,Accepted,True,Medium,15.1774,23.2135,Accepted
remove-methods-from-project,10.8823,Accepted,775.0,775.0,28.2052,SUCCESS,16.2394,Accepted,True,Medium,15.5719,19.6718,Accepted
maximal-score-after-applying-k-operations,83.1169,Accepted,40.0,40.0,77.5251,SUCCESS,31.9221,Accepted,True,Medium,15.751,29.6704,Accepted
substring-with-largest-variance,,Wrong Answer,138.0,138.0,22.8955,SUCCESS,58.8785,Accepted,True,Hard,16.02,16.45,Accepted
largest-number-after-digit-swaps-by-parity,100.0,Accepted,238.0,238.0,100.0,SUCCESS,93.4599,Accepted,True,Easy,16.04,70.0,Accepted
closest-prime-numbers-in-range,86.55,Accepted,,,90.86,SUCCESS,5.52,Accepted,True,Medium,16.1327,87.1401,Accepted
count-the-number-of-good-nodes,19.6852,Accepted,621.0,621.0,5.9555,SUCCESS,17.8779,Accepted,True,Medium,16.2297,93.506,Accepted
remove-letter-to-equalize-frequency,4.3974,Accepted,,,100.0,SUCCESS,98.07,Accepted,True,Easy,16.4138,88.4138,Accepted
make-array-elements-equal-to-zero,,Wrong Answer,584.0,561.0,,SUCCESS,,Wrong Answer,True,Easy,17.2668,10.4317,Accepted
maximum-number-of-moves-in-a-grid,22.2815,Accepted,814.0,814.0,21.9673,SUCCESS,92.0455,Accepted,True,Medium,17.5108,67.7044,Accepted
largest-3-same-digit-number-in-string,100.0,Accepted,141.0,141.0,68.6709,SUCCESS,62.3418,Accepted,True,Easy,18.555,41.0509,Accepted
shift-distance-between-two-strings,,Wrong Answer,741.0,199.0,,SUCCESS,,Wrong Answer,True,Medium,18.7078,66.9065,Accepted
minimize-the-total-price-of-the-trips,86.2068,Accepted,407.0,407.0,19.444,SUCCESS,63.8888,Accepted,True,Hard,18.8397,39.1304,Accepted
number-of-subarrays-that-match-a-pattern-i,82.2356,Accepted,,,84.97,SUCCESS,17.76,Accepted,True,Medium,18.9258,64.7058,Accepted
best-position-for-a-service-centre,97.2223,Accepted,56.0,56.0,87.2835,SUCCESS,61.2717,Accepted,True,Hard,18.936,100.0,Accepted
find-minimum-time-to-finish-all-jobs,19.7,Accepted,,,15.51,SUCCESS,77.21,Accepted,True,Hard,19.58,54.21,Accepted
goal-parser-interpretation,41.89,Accepted,,,6.89,SUCCESS,89.89,Accepted,True,Easy,19.7825,89.6043,Accepted
maximum-length-substring-with-two-occurrences,14.2858,Accepted,709.0,709.0,89.635,SUCCESS,55.3285,Accepted,True,Easy,19.8541,36.6424,Accepted
divide-nodes-into-the-maximum-number-of-groups,23.7761,Accepted,57.0,57.0,41.2964,SUCCESS,50.1706,Accepted,True,Hard,20.1378,66.9967,Accepted
faulty-keyboard,59.4988,Accepted,3005.0,3005.0,100.0,SUCCESS,59.675,Accepted,True,Easy,20.5318,15.3618,Accepted
lexicographically-smallest-string-after-operations-with-constraint,88.57,Accepted,,,43.16,SUCCESS,89.47,Accepted,True,Medium,20.83,46.88,Accepted
partition-array-into-two-arrays-to-minimize-sum-difference,23.1331,Accepted,201.0,201.0,5.1038,SUCCESS,46.5116,Accepted,True,Hard,20.8311,56.9794,Accepted
alternating-groups-i,79.4378,Accepted,795.0,795.0,11.5186,SUCCESS,16.0558,Accepted,True,Easy,20.9427,55.3228,Accepted
count-tested-devices-after-test-operations,100.0,Accepted,520.0,520.0,100.0,SUCCESS,62.1701,Accepted,True,Easy,21.4072,86.217,Accepted
concatenation-of-array,17.8806,Accepted,92.0,92.0,100.0,SUCCESS,92.0439,Accepted,True,Easy,22.2698,69.8905,Accepted
