slug,difficulty,total_testcases,total_correct,runtime_percentile,state,status_msg,Accepted,processed
minimum-operations-to-make-the-integer-zero,Medium,542,542,38.3333,SUCCESS,3.3333,Accepted,TRUE
maximum-number-of-integers-to-choose-from-a-range-i,Medium,208,208,85.3551,SUCCESS,5.0296,Accepted,TRUE
minimum-fuel-cost-to-report-to-the-capital,Medium,131,131,6.8911,SUCCESS,5.03,Accepted,TRUE
prime-pairs-with-target-sum,Medium,554,554,90.6784,SUCCESS,5.0851,Accepted,TRUE
count-of-integers,Hard,,,94.74,,5.15,Accepted,TRUE
movement-of-robots,Medium,2567,2567,28.9161,SUCCESS,5.2209,Accepted,TRUE
count-increasing-quadruplets,Hard,121,121,14.2864,SUCCESS,5.3575,Accepted,TRUE
check-if-strings-can-be-made-equal-with-operations-ii,Medium,752,752,53.763,SUCCESS,5.3762,Accepted,TRUE
maximize-score-of-numbers-in-ranges,Medium,686,686,10.003,SUCCESS,5.3846,Accepted,TRUE
number-of-excellent-pairs,Hard,,,51.92,,5.57,Accepted,TRUE
strange-printer-ii,Hard,153,153,67.3765,SUCCESS,5.6737,Accepted,TRUE
find-consecutive-integers-from-a-data-stream,Medium,38,38,89.0108,SUCCESS,6.3183,Accepted,TRUE
minimum-number-of-operations-to-make-word-k-periodic,Medium,820,820,68.0854,SUCCESS,6.3828,Accepted,TRUE
count-pairs-that-form-a-complete-day-ii,Medium,714,714,37.4183,SUCCESS,6.4514,Accepted,TRUE
capitalize-the-title,Easy,200,200,100,SUCCESS,6.6406,Accepted,TRUE
find-the-original-typed-string-i,Easy,780,780,11.1446,SUCCESS,6.9277,Accepted,TRUE
apply-operations-to-an-array,Easy,36,36,100,SUCCESS,7.0345,Accepted,TRUE
count-the-number-of-arrays-with-k-matching-adjacent-elements,Hard,809,809,76.5428,SUCCESS,7.4073,Accepted,TRUE
check-if-binary-string-has-at-most-one-segment-of-ones,Easy,,,100,,7.42,Accepted,TRUE
minimum-number-of-operations-to-make-elements-in-array-distinct,Easy,781,781,64.8102,SUCCESS,8.2146,Accepted,TRUE
minimum-operations-to-exceed-threshold-value-ii,Medium,676,676,5.1952,SUCCESS,8.7664,Accepted,TRUE
find-the-integer-added-to-array-ii,Medium,560,560,14.6516,SUCCESS,8.9172,Accepted,TRUE
minimum-operations-to-write-the-letter-y-on-a-grid,Medium,,,27.35,,8.92,Accepted,TRUE
neither-minimum-nor-maximum,Easy,9558,9558,53.0665,SUCCESS,9.1999,Accepted,TRUE
minimum-operations-to-make-the-array-increasing,Easy,94,94,39.2724,SUCCESS,9.4103,Accepted,TRUE
maximum-number-that-sum-of-the-prices-is-less-than-or-equal-to-k,Medium,932,932,43.1368,SUCCESS,9.8039,Accepted,TRUE
snake-in-matrix,Easy,983,983,100,SUCCESS,9.8331,Accepted,TRUE
rearrange-k-substrings-to-form-target-string,Medium,771,771,98.434,SUCCESS,9.8984,Accepted,TRUE
take-gifts-from-the-richest-pile,Easy,103,103,83.4441,SUCCESS,10.1728,Accepted,TRUE
sum-of-prefix-scores-of-strings,Hard,38,38,25.3375,SUCCESS,10.4066,Accepted,TRUE
make-array-elements-equal-to-zero,Easy,584,584,17.2668,SUCCESS,10.4317,Accepted,TRUE
remove-digit-from-number-to-maximize-result,Easy,112,112,100,SUCCESS,10.5702,Accepted,TRUE
alice-and-bob-playing-flower-game,Medium,537,537,100,SUCCESS,10.6383,Accepted,TRUE
number-of-beautiful-pairs,Easy,3005,3005,88.4619,SUCCESS,10.8974,Accepted,TRUE
count-ways-to-group-overlapping-ranges,Medium,32,32,30.058,SUCCESS,10.9827,Accepted,TRUE
button-with-longest-push-time,Easy,588,588,100,SUCCESS,11.0311,Accepted,TRUE
form-smallest-number-from-two-digit-arrays,Easy,388,388,11.1112,SUCCESS,11.1112,Accepted,TRUE
transform-array-by-parity,Easy,804,804,100,SUCCESS,11.3377,Accepted,TRUE
remove-trailing-zeros-from-a-string,Easy,,,100,,11.35,Accepted,TRUE
check-if-word-equals-summation-of-two-words,Easy,,,100,,11.4,Accepted,TRUE
minimum-space-wasted-from-packaging,Hard,42,42,48.052,SUCCESS,11.6884,Accepted,TRUE
maximum-or,Medium,1215,1215,87.0588,SUCCESS,11.7647,Accepted,TRUE
minimum-penalty-for-a-shop,Medium,42,42,30.2923,SUCCESS,12.0389,Accepted,TRUE
minimum-impossible-or,Medium,73,73,98.374,SUCCESS,12.1953,Accepted,TRUE
apply-bitwise-operations-to-make-strings-equal,Medium,71,71,100,SUCCESS,12.6985,Accepted,TRUE
count-the-number-of-fair-pairs,Medium,55,55,6.6964,SUCCESS,12.7813,Accepted,TRUE
longest-uploaded-prefix,Medium,24,24,85.714,SUCCESS,12.8568,Accepted,TRUE
divide-players-into-teams-of-equal-skill,Medium,89,89,80.1652,SUCCESS,13.6954,Accepted,TRUE
determine-if-a-cell-is-reachable-at-a-given-time,Medium,806,806,64.4473,SUCCESS,13.8775,Accepted,TRUE
maximum-possible-number-by-binary-concatenation,Medium,752,752,50.4425,SUCCESS,14.1592,Accepted,TRUE
minimum-operations-to-collect-elements,Easy,619,619,100,SUCCESS,14.3356,Accepted,TRUE
alternating-digit-sum,Easy,118,118,100,SUCCESS,14.5252,Accepted,TRUE
last-visited-integers,Easy,706,706,100,SUCCESS,14.5349,Accepted,TRUE
sum-of-digits-of-string-after-convert,Easy,,,24.89,,14.55,Accepted,TRUE
maximum-value-of-an-ordered-triplet-i,Easy,564,564,35.7936,SUCCESS,14.9158,Accepted,TRUE
find-the-median-of-the-uniqueness-array,Hard,792,792,90,SUCCESS,15,Accepted,TRUE
faulty-keyboard,Easy,3005,3005,20.5318,SUCCESS,15.3618,Accepted,TRUE
special-permutations,Medium,590,590,60.562,SUCCESS,15.4915,Accepted,TRUE
longest-palindromic-subsequence-after-at-most-k-operations,Medium,550,550,9.3016,SUCCESS,15.5032,Accepted,TRUE
remove-one-element-to-make-the-array-strictly-increasing,Easy,109,109,100,SUCCESS,15.6146,Accepted,TRUE
count-operations-to-obtain-zero,Easy,161,161,80.1642,SUCCESS,15.7276,Accepted,TRUE
buy-two-chocolates,Easy,2003,2003,17.8031,SUCCESS,16.0354,Accepted,TRUE
