slug,total_testcases_fixed,total_correct_fixed,runtime_percentile_fixed,state_fixed,status_msg_fixed,memory_percentile_fixed,processed_fixed
minimum-number-of-pushes-to-type-word-ii,,,42.27,SUCCESS,91.48,Accepted,TRUE
using-a-robot-to-print-the-lexicographically-smallest-string,,,31.92,SUCCESS,19.15,Accepted,TRUE
closest-prime-numbers-in-range,,,90.86,SUCCESS,5.52,Accepted,TRUE
lexicographically-smallest-string-after-operations-with-constraint,,,43.16,SUCCESS,89.47,Accepted,TRUE
find-the-integer-added-to-array-ii,,,97.06,SUCCESS,8.09,Accepted,TRUE
find-minimum-time-to-finish-all-jobs,,,15.51,SUCCESS,77.21,Accepted,TRUE
number-of-senior-citizens,,,23.26,SUCCESS,62.99,Accepted,TRUE
remove-max-number-of-edges-to-keep-graph-fully-traversable,,,20,SUCCESS,75.14,Accepted,TRUE
check-if-the-number-is-fascinating,,,100,SUCCESS,12.22,Accepted,TRUE
divide-intervals-into-minimum-number-of-groups,,,63.94,SUCCESS,76.62,Accepted,TRUE
minimum-sum-of-mountain-triplets-i,,,79.84,SUCCESS,17.77,Accepted,TRUE
sort-the-students-by-their-kth-score,,,40.73,SUCCESS,24.14,Accepted,TRUE
most-frequent-prime,,,68.18,SUCCESS,43.18,Accepted,TRUE
minimum-space-wasted-from-packaging,,,40.21,SUCCESS,15.46,Accepted,TRUE
minimum-operations-to-write-the-letter-y-on-a-grid,,,86.6,SUCCESS,89.81,Accepted,TRUE
minimum-cost-for-cutting-cake-i,,,100,SUCCESS,79.8,Accepted,TRUE
minimum-operations-to-make-the-integer-zero,,,100,SUCCESS,68.57,Accepted,TRUE
sorting-three-groups,,,56.98,SUCCESS,88.95,Accepted,TRUE
minimum-moves-to-spread-stones-over-grid,,,47.56,SUCCESS,87.11,Accepted,TRUE
find-special-substring-of-length-k,,,40.59,SUCCESS,37.46,Accepted,TRUE
maximum-odd-binary-number,,,100,SUCCESS,15.83,Accepted,TRUE
check-if-strings-can-be-made-equal-with-operations-ii,,,55.67,SUCCESS,96.91,Accepted,TRUE
minimum-time-to-visit-a-cell-in-a-grid,,,82.43,SUCCESS,75.7,Accepted,TRUE
process-restricted-friend-requests,,,66.16,SUCCESS,76.69,Accepted,TRUE
extra-characters-in-a-string,,,99.17,SUCCESS,78.33,Accepted,TRUE
lexicographically-smallest-string-after-substring-operation,,,75.17,SUCCESS,36.51,Accepted,TRUE
special-permutations,,,66.67,SUCCESS,15.28,Accepted,TRUE
number-of-increasing-paths-in-a-grid,,,64.39,SUCCESS,79.45,Accepted,TRUE
minimum-positive-sum-subarray,,,96.34,SUCCESS,62.4,Accepted,TRUE
count-fertile-pyramids-in-a-land,,,75,SUCCESS,46,Accepted,TRUE
count-submatrices-with-top-left-element-and-sum-less-than-k,,,91.62,SUCCESS,93.85,Accepted,TRUE
goal-parser-interpretation,,,6.89,SUCCESS,89.89,Accepted,TRUE
number-of-beautiful-integers-in-the-range,,,50.55,SUCCESS,34.07,Accepted,TRUE
minimum-number-of-changes-to-make-binary-string-beautiful,,,81.2,SUCCESS,13.03,Accepted,TRUE
determine-if-string-halves-are-alike,,,60.92,SUCCESS,22.33,Accepted,TRUE
gcd-sort-of-an-array,,,86.21,SUCCESS,32.76,Accepted,TRUE
hash-divided-string,,,61.99,SUCCESS,33.96,Accepted,TRUE
palindrome-partitioning-iv,,,82.84,SUCCESS,44.03,Accepted,TRUE
minimum-degree-of-a-connected-trio-in-a-graph,,,91.94,SUCCESS,14.52,Accepted,TRUE
neither-minimum-nor-maximum,,,65.9,SUCCESS,82.21,Accepted,TRUE
number-of-subarrays-that-match-a-pattern-i,,,84.97,SUCCESS,17.76,Accepted,TRUE
minimum-number-of-operations-to-make-array-continuous,,,82.82,SUCCESS,77.53,Accepted,TRUE
count-pairs-with-xor-in-a-range,,,91.43,SUCCESS,74.29,Accepted,TRUE
max-dot-product-of-two-subsequences,,,39.19,SUCCESS,75,Accepted,TRUE
rearranging-fruits,,,93.7,SUCCESS,57.48,Accepted,TRUE
number-of-distinct-roll-sequences,,,89.02,SUCCESS,87.8,Accepted,TRUE
number-of-ways-of-cutting-a-pizza,,,,SUCCESS,,Wrong Answer,TRUE
number-of-rectangles-that-can-form-the-largest-square,,,85.59,SUCCESS,63.96,Accepted,TRUE
minimum-cost-to-cut-a-stick,,,96.22,SUCCESS,72.72,Accepted,TRUE
minimum-operations-to-maximize-last-elements-in-arrays,,,64.13,SUCCESS,83.7,Accepted,TRUE
check-if-there-is-a-valid-parentheses-string-path,,,92.86,SUCCESS,76.19,Accepted,TRUE
next-greater-element-iv,,,42.93,SUCCESS,52.88,Accepted,TRUE
sorting-the-sentence,,,88.37,SUCCESS,44.44,Accepted,TRUE
largest-odd-number-in-string,,,89.86,SUCCESS,6.59,Accepted,TRUE
minimum-element-after-replacement-with-digit-sum,,,47.38,SUCCESS,21.94,Accepted,TRUE
closest-room,,,100,SUCCESS,57.78,Accepted,TRUE
find-a-safe-walk-through-a-grid,,,92.4,SUCCESS,84.49,Accepted,TRUE
minimum-operations-to-exceed-threshold-value-ii,,,14.73,SUCCESS,22.82,Accepted,TRUE
checking-existence-of-edge-length-limited-paths,,,94.59,SUCCESS,17.57,Accepted,TRUE
count-subarrays-with-fixed-bounds,,,94.19,SUCCESS,18.53,Accepted,TRUE
